code,term
10643011000001102,Aciclovir 800mg dispersible tablets (Teva UK Ltd) (AMP)
10832911000001101,Aciclovir 200mg/5ml oral suspension sugar free (Waymade Healthcare Plc) (AMP)
10833111000001105,Aciclovir 400mg/5ml oral suspension sugar free (Waymade Healthcare Plc) (AMP)
11527411000001101,Aciclovir 200mg/5ml oral suspension sugar free (Alliance Healthcare (Distribution) Ltd) (AMP)
11527711000001107,Aciclovir 400mg/5ml oral suspension sugar free (Alliance Healthcare (Distribution) Ltd) (AMP)
12562011000001101,Zovirax Double Strength 400mg/5ml oral suspension (Waymade Healthcare Plc) (AMP)
130311000001101,Ranovir 800mg tablets (Sun Pharma UK Ltd) (AMP)
13102711000001101,Aciclovir 200mg dispersible tablets (Dowelhurst Ltd) (AMP)
13102911000001104,Aciclovir 400mg dispersible tablets (Dowelhurst Ltd) (AMP)
13103311000001105,Aciclovir 800mg dispersible tablets (Dowelhurst Ltd) (AMP)
132111000001104,Virovir 800mg tablets (Opus Pharmaceuticals Ltd) (AMP)
13574911000001105,Aciclovir 800mg dispersible tablets (DE Pharmaceuticals) (AMP)
138111000001101,Aciclovir 800mg tablets (Alliance Healthcare (Distribution) Ltd) (AMP)
14605211000001102,Aciclovir 800mg tablets (Kent Pharma (UK) Ltd) (AMP)
14742411000001105,Zovirax 200mg dispersible tablets (Sigma Pharmaceuticals Plc) (AMP)
14744511000001104,Zovirax 400mg dispersible tablets (Sigma Pharmaceuticals Plc) (AMP)
14744811000001101,Zovirax 800mg dispersible tablets (Sigma Pharmaceuticals Plc) (AMP)
15059611000001109,Aciclovir 200mg/5ml oral suspension sugar free (Sigma Pharmaceuticals Plc) (AMP)
15060011000001101,Aciclovir 400mg/5ml oral suspension sugar free (Sigma Pharmaceuticals Plc) (AMP)
160111000001108,Aciclovir 200mg dispersible tablets (Teva UK Ltd) (AMP)
16682411000001104,Zovirax 800mg dispersible tablets (Stephar (U.K.) Ltd) (AMP)
17755611000001108,Aciclovir 200mg dispersible tablets (Phoenix Healthcare Distribution Ltd) (AMP)
17755811000001107,Aciclovir 400mg dispersible tablets (Phoenix Healthcare Distribution Ltd) (AMP)
17756011000001105,Aciclovir 800mg dispersible tablets (Phoenix Healthcare Distribution Ltd) (AMP)
17961311000001100,Aciclovir 200mg tablets (Almus Pharmaceuticals Ltd) (AMP)
17961511000001106,Aciclovir 400mg tablets (Almus Pharmaceuticals Ltd) (AMP)
17961711000001101,Aciclovir 800mg tablets (Almus Pharmaceuticals Ltd) (AMP)
18216611000001105,Zovirax 200mg dispersible tablets (Necessity Supplies Ltd) (AMP)
18217611000001107,Zovirax 200mg/5ml oral suspension (Mawdsley-Brooks & Company Ltd) (AMP)
18745911000001106,Zovirax Double Strength 400mg/5ml oral suspension (Sigma Pharmaceuticals Plc) (AMP)
19294511000001104,Aciclovir 200mg/5ml oral suspension sugar free (Accord-UK Ltd) (AMP)
19294711000001109,Aciclovir 400mg/5ml oral suspension sugar free (Accord-UK Ltd) (AMP)
19538911000001103,Aciclovir 200mg/5ml oral suspension sugar free (DE Pharmaceuticals) (AMP)
21751711000001102,Aciclovir 200mg/5ml oral suspension sugar free (Waymade Healthcare Plc) (AMP)
21752611000001100,Aciclovir 400mg/5ml oral suspension sugar free (Waymade Healthcare Plc) (AMP)
21753811000001109,Aciclovir 400mg tablets (Waymade Healthcare Plc) (AMP)
21754411000001105,Aciclovir 200mg dispersible tablets (Waymade Healthcare Plc) (AMP)
21754611000001108,Aciclovir 400mg dispersible tablets (Waymade Healthcare Plc) (AMP)
21755511000001105,Aciclovir 800mg dispersible tablets (Waymade Healthcare Plc) (AMP)
22583111000001108,Aciclovir 200mg dispersible tablets (DE Pharmaceuticals) (AMP)
22583711000001109,Aciclovir 400mg dispersible tablets (DE Pharmaceuticals) (AMP)
22585011000001108,Aciclovir 200mg/5ml oral suspension sugar free (DE Pharmaceuticals) (AMP)
22586211000001109,Aciclovir 400mg/5ml oral suspension sugar free (DE Pharmaceuticals) (AMP)
22586411000001108,Aciclovir 200mg tablets (DE Pharmaceuticals) (AMP)
22586611000001106,Aciclovir 400mg tablets (DE Pharmaceuticals) (AMP)
22586811000001105,Aciclovir 800mg tablets (DE Pharmaceuticals) (AMP)
23511000001108,Aciclovir 400mg tablets (Alliance Healthcare (Distribution) Ltd) (AMP)
235911000001106,Aciclovir 800mg dispersible tablets (Kent Pharma (UK) Ltd) (AMP)
24199511000001102,Aciclovir 200mg tablets (Accord-UK Ltd) (AMP)
24199711000001107,Aciclovir 400mg tablets (Accord-UK Ltd) (AMP)
24199911000001109,Aciclovir 800mg tablets (Accord-UK Ltd) (AMP)
245111000001109,Aciclovir 800mg dispersible tablets (Sterwin Medicines) (AMP)
264211000001107,Virovir 400mg tablets (Opus Pharmaceuticals Ltd) (AMP)
26711000001105,Aciclovir 800mg tablets (Wockhardt UK Ltd) (AMP)
26775011000001101,Aciclovir 200mg tablets (Tillomed Laboratories Ltd) (AMP)
26775411000001105,Aciclovir 800mg tablets (Tillomed Laboratories Ltd) (AMP)
26775811000001107,Aciclovir 200mg dispersible tablets (Tillomed Laboratories Ltd) (AMP)
26776111000001106,Aciclovir 400mg dispersible tablets (Tillomed Laboratories Ltd) (AMP)
26776411000001101,Aciclovir 800mg dispersible tablets (Tillomed Laboratories Ltd) (AMP)
280711000001108,Aciclovir 200mg tablets (A A H Pharmaceuticals Ltd) (AMP)
295811000001107,Aciclovir 200mg tablets (Sterwin Medicines) (AMP)
29755711000001109,Aciclovir 200mg dispersible tablets (Sigma Pharmaceuticals Plc) (AMP)
29755911000001106,Aciclovir 200mg tablets (Sigma Pharmaceuticals Plc) (AMP)
29756111000001102,Aciclovir 400mg dispersible tablets (Sigma Pharmaceuticals Plc) (AMP)
29756311000001100,Aciclovir 400mg tablets (Sigma Pharmaceuticals Plc) (AMP)
29756511000001106,Aciclovir 800mg dispersible tablets (Sigma Pharmaceuticals Plc) (AMP)
29756711000001101,Aciclovir 800mg tablets (Sigma Pharmaceuticals Plc) (AMP)
29989311000001105,Aciclovir 200mg dispersible tablets (Mawdsley-Brooks & Company Ltd) (AMP)
29989511000001104,Aciclovir 400mg dispersible tablets (Mawdsley-Brooks & Company Ltd) (AMP)
29989711000001109,Aciclovir 800mg dispersible tablets (Mawdsley-Brooks & Company Ltd) (AMP)
29989911000001106,Aciclovir 200mg tablets (Mawdsley-Brooks & Company Ltd) (AMP)
29990111000001102,Aciclovir 400mg tablets (Mawdsley-Brooks & Company Ltd) (AMP)
29990311000001100,Aciclovir 800mg tablets (Mawdsley-Brooks & Company Ltd) (AMP)
3070711000001100,Aciclovir 400mg dispersible tablets (A A H Pharmaceuticals Ltd) (AMP)
3071111000001107,Aciclovir 400mg dispersible tablets (Actavis UK Ltd) (AMP)
3071311000001109,Aciclovir 400mg dispersible tablets (The Boots Company Plc) (AMP)
3071611000001104,Zovirax 400mg dispersible tablets (GlaxoSmithKline UK Ltd) (AMP)
3071911000001105,Aciclovir 400mg dispersible tablets (Teva UK Ltd) (AMP)
3072211000001108,Aciclovir 400mg dispersible tablets (Kent Pharma (UK) Ltd) (AMP)
3072511000001106,Aciclovir 400mg dispersible tablets (Pfizer Ltd) (AMP)
3072911000001104,Aciclovir 400mg dispersible tablets (Sun Pharma UK Ltd) (AMP)
3073211000001102,Aciclovir 400mg dispersible tablets (Alliance Healthcare (Distribution) Ltd) (AMP)
307511000001108,Aciclovir 800mg dispersible tablets (A A H Pharmaceuticals Ltd) (AMP)
313011000001108,Aciclovir 800mg dispersible tablets (Actavis UK Ltd) (AMP)
32552011000001106,Aciclovir 400mg tablets (Tillomed Laboratories Ltd) (AMP)
32763711000001106,Aciclovir 200mg/5ml oral suspension sugar free (SyriMed) (AMP)
32763911000001108,Aciclovir 400mg/5ml oral suspension sugar free (SyriMed) (AMP)
35892311000001100,Aciclovir 200mg/5ml oral suspension sugar free (VMP)
3605811000001104,Zovirax Double Strength 400mg/5ml oral suspension (GlaxoSmithKline UK Ltd) (AMP)
3627511000001103,Aciclovir 400mg/5ml oral suspension sugar free (VMP)
37658311000001102,Aciclovir 200mg/5ml oral suspension sugar free (CST Pharma Ltd) (AMP)
38106511000001109,Aciclovir 400mg tablets (Crescent Pharma Ltd) (AMP)
38178811000001102,Aciclovir 800mg tablets (Crescent Pharma Ltd) (AMP)
38179211000001108,Aciclovir 200mg tablets (Crescent Pharma Ltd) (AMP)
38760411000001102,Aciclovir 200mg tablets (Medihealth (Northern) Ltd) (AMP)
38760711000001108,Aciclovir 200mg/5ml oral suspension sugar free (Medihealth (Northern) Ltd) (AMP)
38761011000001102,Aciclovir 400mg tablets (Medihealth (Northern) Ltd) (AMP)
38761411000001106,Aciclovir 400mg/5ml oral suspension sugar free (Medihealth (Northern) Ltd) (AMP)
38761611000001109,Aciclovir 800mg tablets (Medihealth (Northern) Ltd) (AMP)
38762111000001106,Aciclovir 200mg dispersible tablets (Medihealth (Northern) Ltd) (AMP)
38762411000001101,Aciclovir 400mg dispersible tablets (Medihealth (Northern) Ltd) (AMP)
38762911000001109,Aciclovir 800mg dispersible tablets (Medihealth (Northern) Ltd) (AMP)
39693711000001108,Aciclovir 200mg dispersible tablets (VMP)
39693811000001100,Aciclovir 400mg dispersible tablets (VMP)
39693911000001105,Aciclovir 800mg dispersible tablets (VMP)
404611000001109,Aciclovir 800mg dispersible tablets (Pfizer Ltd) (AMP)
408411000001102,Aciclovir 200mg tablets (Wockhardt UK Ltd) (AMP)
40867711000001107,Aciclovir 200mg dispersible tablets (Crescent Pharma Ltd) (AMP)
40867911000001109,Aciclovir 400mg dispersible tablets (Crescent Pharma Ltd) (AMP)
40868311000001109,Aciclovir 800mg dispersible tablets (Crescent Pharma Ltd) (AMP)
41485311000001102,Aciclovir 200mg tablets (VMP)
41485611000001107,Aciclovir 400mg tablets (VMP)
41485911000001101,Aciclovir 800mg tablets (VMP)
41928011000001104,Aciclovir 200mg tablets (Milpharm Ltd) (AMP)
41928211000001109,Aciclovir 400mg tablets (Milpharm Ltd) (AMP)
41928511000001107,Aciclovir 800mg tablets (Milpharm Ltd) (AMP)
