code,term
10380511000001103,Amoxicillin 250mg capsules (Arrow Generics Ltd) (AMP)
10381311000001104,Amoxicillin 500mg capsules (Arrow Generics Ltd) (AMP)
10426911000001105,Amoxicillin 125mg/5ml oral suspension (Arrow Generics Ltd) (AMP)
10427411000001100,Amoxicillin 250mg/5ml oral suspension (Arrow Generics Ltd) (AMP)
10428011000001105,Amoxicillin 125mg/5ml oral suspension sugar free (Arrow Generics Ltd) (AMP)
10428411000001101,Amoxicillin 250mg/5ml oral suspension sugar free (Arrow Generics Ltd) (AMP)
10460611000001105,Amoxil 500mg capsules (Dowelhurst Ltd) (AMP)
116511000001101,Amoxicillin 500mg capsules (Alliance Healthcare (Distribution) Ltd) (AMP)
121011000001106,Amix 500 capsules (Ashbourne Pharmaceuticals Ltd) (AMP)
12948011000001101,Amoxicillin 250mg capsules (Boston Healthcare Ltd) (AMP)
12948211000001106,Amoxicillin 500mg capsules (Boston Healthcare Ltd) (AMP)
130111000001103,Galenamox 500mg capsules (Galen Ltd) (AMP)
13110911000001100,Amoxicillin 250mg capsules (Dowelhurst Ltd) (AMP)
13111311000001106,Amoxicillin 500mg capsules (Dowelhurst Ltd) (AMP)
13111711000001105,Amoxicillin 3g oral powder sachets sugar free (Dowelhurst Ltd) (AMP)
13112111000001104,Amoxicillin 125mg/5ml oral suspension (Dowelhurst Ltd) (AMP)
13112511000001108,Amoxicillin 125mg/5ml oral suspension sugar free (Dowelhurst Ltd) (AMP)
13112811000001106,Amoxicillin 250mg/5ml oral suspension (Dowelhurst Ltd) (AMP)
13113311000001107,Amoxicillin 250mg/5ml oral suspension sugar free (Dowelhurst Ltd) (AMP)
13811000001100,Amoxicillin 500mg capsules (Kent Pharma (UK) Ltd) (AMP)
13827911000001101,Amoxil 500mg capsules (DE Pharmaceuticals) (AMP)
14193111000001109,Amoxil 500mg capsules (Sigma Pharmaceuticals Plc) (AMP)
143211000001100,Amoxicillin 125mg/5ml oral suspension (IVAX Pharmaceuticals UK Ltd) (AMP)
144711000001109,Amoxicillin 125mg/5ml oral suspension (Sun Pharma UK Ltd) (AMP)
145611000001104,Amoxicillin 250mg capsules (Alliance Healthcare (Distribution) Ltd) (AMP)
14811000001102,Respillin 500mg capsules (Kent Pharma (UK) Ltd) (AMP)
15065511000001104,Amoxicillin 250mg/5ml oral suspension (Sigma Pharmaceuticals Plc) (AMP)
15122711000001104,Amoxicillin 250mg capsules (Mawdsley-Brooks & Company Ltd) (AMP)
15122911000001102,Amoxicillin 500mg capsules (Mawdsley-Brooks & Company Ltd) (AMP)
15123311000001108,Amoxicillin 3g oral powder sachets sugar free (Mawdsley-Brooks & Company Ltd) (AMP)
159311000001109,Amoxicillin 125mg/5ml oral suspension (Actavis UK Ltd) (AMP)
15981611000001108,Amoxicillin 250mg capsules (Bristol Laboratories Ltd) (AMP)
15981911000001102,Amoxicillin 500mg capsules (Bristol Laboratories Ltd) (AMP)
15984311000001100,Amoxicillin 125mg/5ml oral suspension (Bristol Laboratories Ltd) (AMP)
15984511000001106,Amoxicillin 250mg/5ml oral suspension (Bristol Laboratories Ltd) (AMP)
15984711000001101,Amoxicillin 125mg/5ml oral suspension sugar free (Bristol Laboratories Ltd) (AMP)
15984911000001104,Amoxicillin 250mg/5ml oral suspension sugar free (Bristol Laboratories Ltd) (AMP)
161011000001103,Respillin 250mg capsules (Kent Pharma (UK) Ltd) (AMP)
16138011000001103,Amoxil 500mg capsules (Lexon (UK) Ltd) (AMP)
16261411000001105,Amoxil 500mg capsules (Mawdsley-Brooks & Company Ltd) (AMP)
16540411000001104,Amoxil 500mg capsules (Stephar (U.K.) Ltd) (AMP)
17584311000001105,Amoxil 500mg capsules (Necessity Supplies Ltd) (AMP)
17779911000001102,Amoxicillin 250mg capsules (Phoenix Healthcare Distribution Ltd) (AMP)
17780311000001103,Amoxicillin 500mg capsules (Phoenix Healthcare Distribution Ltd) (AMP)
17781111000001106,Amoxicillin 125mg/5ml oral suspension (Phoenix Healthcare Distribution Ltd) (AMP)
17781711000001107,Amoxicillin 250mg/5ml oral suspension (Phoenix Healthcare Distribution Ltd) (AMP)
17781911000001109,Amoxicillin 125mg/5ml oral suspension sugar free (Phoenix Healthcare Distribution Ltd) (AMP)
17782111000001101,Amoxicillin 250mg/5ml oral suspension sugar free (Phoenix Healthcare Distribution Ltd) (AMP)
18081411000001108,Amoxicillin 3g oral powder sachets sugar free (Phoenix Healthcare Distribution Ltd) (AMP)
18145411000001107,Amoxicillin 250mg capsules (Wockhardt UK Ltd) (AMP)
18146111000001108,Amoxicillin 500mg capsules (Wockhardt UK Ltd) (AMP)
181511000001108,Amoxicillin 500mg capsules (Sun Pharma UK Ltd) (AMP)
18458211000001102,Amoxicillin 500mg capsules (Accord-UK Ltd) (AMP)
190111000001106,Galenamox 250mg/5ml oral suspension (Galen Ltd) (AMP)
19187411000001106,Amoxicillin 250mg capsules (Milpharm Ltd) (AMP)
19187611000001109,Amoxicillin 500mg capsules (Milpharm Ltd) (AMP)
19211000001104,Amoram 500mg capsules (LPC Medical (UK) Ltd) (AMP)
