code,term
10388711000001105,Cefalexin 250mg capsules (Arrow Generics Ltd) (AMP)
10388911000001107,Cefalexin 500mg capsules (Arrow Generics Ltd) (AMP)
10389111000001102,Cefalexin 250mg tablets (Arrow Generics Ltd) (AMP)
10389411000001107,Cefalexin 500mg tablets (Arrow Generics Ltd) (AMP)
10456111000001106,Cefalexin 125mg/5ml oral suspension (Arrow Generics Ltd) (AMP)
10456311000001108,Cefalexin 250mg/5ml oral suspension (Arrow Generics Ltd) (AMP)
11267111000001105,Cefalexin 125mg/5ml oral suspension sugar free (PLIVA Pharma Ltd) (AMP)
11267311000001107,Cefalexin 250mg/5ml oral suspension sugar free (PLIVA Pharma Ltd) (AMP)
11267511000001101,Cefalexin 250mg tablets (PLIVA Pharma Ltd) (AMP)
11267711000001106,Cefalexin 500mg tablets (PLIVA Pharma Ltd) (AMP)
13212211000001108,Cefalexin 250mg capsules (Dowelhurst Ltd) (AMP)
13212511000001106,Cefalexin 500mg capsules (Dowelhurst Ltd) (AMP)
13212811000001109,Cefalexin 125mg/5ml oral suspension (Dowelhurst Ltd) (AMP)
13213011000001107,Cefalexin 250mg/5ml oral suspension (Dowelhurst Ltd) (AMP)
13213211000001102,Cefalexin 250mg tablets (Dowelhurst Ltd) (AMP)
13213511000001104,Cefalexin 500mg tablets (Dowelhurst Ltd) (AMP)
149411000001104,Cefalexin 500mg tablets (Actavis UK Ltd) (AMP)
15052511000001101,Cefalexin 250mg tablets (Sigma Pharmaceuticals Plc) (AMP)
15073911000001103,Cefalexin 125mg/5ml oral suspension (Sigma Pharmaceuticals Plc) (AMP)
15074111000001104,Cefalexin 250mg/5ml oral suspension (Sigma Pharmaceuticals Plc) (AMP)
15074311000001102,Cefalexin 500mg/5ml oral suspension (Sigma Pharmaceuticals Plc) (AMP)
158511000001109,Cefalexin 250mg/5ml oral suspension (Alliance Healthcare (Distribution) Ltd) (AMP)
17851911000001102,Cefalexin 250mg capsules (Phoenix Healthcare Distribution Ltd) (AMP)
17852111000001105,Cefalexin 500mg capsules (Phoenix Healthcare Distribution Ltd) (AMP)
17852311000001107,Cefalexin 250mg tablets (Phoenix Healthcare Distribution Ltd) (AMP)
17852511000001101,Cefalexin 500mg tablets (Phoenix Healthcare Distribution Ltd) (AMP)
18086311000001109,Cefalexin 125mg/5ml oral suspension (Phoenix Healthcare Distribution Ltd) (AMP)
18086511000001103,Cefalexin 250mg/5ml oral suspension (Phoenix Healthcare Distribution Ltd) (AMP)
19187811000001108,Cefalexin 250mg capsules (Milpharm Ltd) (AMP)
19188011000001101,Cefalexin 500mg capsules (Milpharm Ltd) (AMP)
19188211000001106,Cefalexin 125mg/5ml oral suspension sugar free (Milpharm Ltd) (AMP)
19188411000001105,Cefalexin 250mg/5ml oral suspension sugar free (Milpharm Ltd) (AMP)
199411000001106,Cefalexin 500mg tablets (Teva UK Ltd) (AMP)
216811000001100,Cefalexin 250mg capsules (Viatris UK Healthcare Ltd) (AMP)
21822811000001100,Cefalexin 250mg capsules (Waymade Healthcare Plc) (AMP)
21823311000001104,Cefalexin 500mg capsules (Waymade Healthcare Plc) (AMP)
21825911000001102,Cefalexin 500mg/5ml oral suspension (Waymade Healthcare Plc) (AMP)
21826411000001101,Cefalexin 125mg/5ml oral suspension (Waymade Healthcare Plc) (AMP)
21826611000001103,Cefalexin 250mg/5ml oral suspension (Waymade Healthcare Plc) (AMP)
21827211000001103,Cefalexin 250mg tablets (Waymade Healthcare Plc) (AMP)
21830211000001100,Cefalexin 500mg tablets (Waymade Healthcare Plc) (AMP)
22631111000001107,Cefalexin 250mg capsules (DE Pharmaceuticals) (AMP)
22631511000001103,Cefalexin 500mg capsules (DE Pharmaceuticals) (AMP)
22631711000001108,Cefalexin 125mg/5ml oral suspension (DE Pharmaceuticals) (AMP)
22631911000001105,Cefalexin 250mg tablets (DE Pharmaceuticals) (AMP)
22632111000001102,Cefalexin 500mg tablets (DE Pharmaceuticals) (AMP)
232811000001108,Cefalexin 250mg tablets (Sun Pharma UK Ltd) (AMP)
233111000001107,Cefalexin 125mg/5ml oral suspension (Sun Pharma UK Ltd) (AMP)
27996311000001105,Cefalexin 250mg capsules (Lupin Healthcare (UK) Ltd) (AMP)
27996611000001100,Cefalexin 500mg capsules (Lupin Healthcare (UK) Ltd) (AMP)
29782311000001109,Cefalexin 250mg capsules (Sigma Pharmaceuticals Plc) (AMP)
29782711000001108,Cefalexin 500mg capsules (Sigma Pharmaceuticals Plc) (AMP)
29782911000001105,Cefalexin 500mg tablets (Sigma Pharmaceuticals Plc) (AMP)
30009611000001106,Cefalexin 250mg capsules (Mawdsley-Brooks & Company Ltd) (AMP)
30010111000001106,Cefalexin 500mg capsules (Mawdsley-Brooks & Company Ltd) (AMP)
30010411000001101,Cefalexin 125mg/5ml oral suspension (Mawdsley-Brooks & Company Ltd) (AMP)
