code,term
10499211000001103,Klaricid XL 500mg tablets (Dowelhurst Ltd) (AMP)
10833311000001107,Clarithromycin 125mg/5ml oral suspension (Waymade Healthcare Plc) (AMP)
10833511000001101,Clarithromycin 250mg/5ml oral suspension (Waymade Healthcare Plc) (AMP)
13225711000001103,Clarithromycin 250mg/5ml oral suspension (Dowelhurst Ltd) (AMP)
13745611000001101,Clarithromycin 250mg tablets (Tillomed Laboratories Ltd) (AMP)
13745811000001102,Clarithromycin 500mg tablets (Tillomed Laboratories Ltd) (AMP)
13765011000001103,Clarithromycin 250mg tablets (Apotex UK Ltd) (AMP)
13765211000001108,Clarithromycin 500mg tablets (Apotex UK Ltd) (AMP)
14694011000001106,Clarithromycin 250mg tablets (Actavis UK Ltd) (AMP)
14694411000001102,Clarithromycin 500mg tablets (Actavis UK Ltd) (AMP)
14734611000001104,Klaricid 500 tablets (Sigma Pharmaceuticals Plc) (AMP)
14735011000001105,Klaricid 250mg tablets (Sigma Pharmaceuticals Plc) (AMP)
15080411000001108,Clarithromycin 125mg/5ml oral suspension (Sigma Pharmaceuticals Plc) (AMP)
15080711000001102,Clarithromycin 250mg tablets (Sigma Pharmaceuticals Plc) (AMP)
15080911000001100,Clarithromycin 250mg/5ml oral suspension (Sigma Pharmaceuticals Plc) (AMP)
16551711000001104,Klaricid 500 tablets (Stephar (U.K.) Ltd) (AMP)
17522411000001102,Clarithromycin 250mg tablets (Somex Pharma) (AMP)
17522611000001104,Clarithromycin 500mg tablets (Somex Pharma) (AMP)
17859611000001109,Clarithromycin 250mg tablets (Phoenix Healthcare Distribution Ltd) (AMP)
17859811000001108,Clarithromycin 500mg tablets (Phoenix Healthcare Distribution Ltd) (AMP)
17965211000001106,Clarithromycin 250mg tablets (Almus Pharmaceuticals Ltd) (AMP)
17965511000001109,Clarithromycin 500mg tablets (Almus Pharmaceuticals Ltd) (AMP)
18101811000001104,Clarithromycin 125mg/5ml oral suspension (Phoenix Healthcare Distribution Ltd) (AMP)
18103211000001101,Clarithromycin 250mg/5ml oral suspension (Phoenix Healthcare Distribution Ltd) (AMP)
18149211000001106,Clarie XL 500mg tablets (Teva UK Ltd) (AMP)
18271111000001101,Klaricid 250mg tablets (Necessity Supplies Ltd) (AMP)
18271311000001104,Klaricid 500 tablets (Necessity Supplies Ltd) (AMP)
19715011000001104,Clarithromycin 250mg tablets (DE Pharmaceuticals) (AMP)
19715211000001109,Clarithromycin 500mg tablets (DE Pharmaceuticals) (AMP)
20096711000001105,Clarithromycin 250mg tablets (Wockhardt UK Ltd) (AMP)
20097311000001109,Clarithromycin 500mg tablets (Wockhardt UK Ltd) (AMP)
20165611000001102,Clarithromycin 250mg tablets (Accord-UK Ltd) (AMP)
20165811000001103,Clarithromycin 500mg tablets (Accord-UK Ltd) (AMP)
211000001101,Klaricid Paediatric 250mg/5ml oral suspension (Viatris UK Healthcare Ltd) (AMP)
21667211000001100,Mycifor XL 500mg tablets (Forum Products Ltd) (AMP)
21708211000001106,Febzin XL 500mg tablets (Actavis UK Ltd) (AMP)
21854311000001101,Clarithromycin 125mg/5ml oral suspension (Waymade Healthcare Plc) (AMP)
21854511000001107,Clarithromycin 250mg/5ml oral suspension (Waymade Healthcare Plc) (AMP)
21854711000001102,Clarithromycin 250mg tablets (Waymade Healthcare Plc) (AMP)
21854911000001100,Clarithromycin 500mg tablets (Waymade Healthcare Plc) (AMP)
220811000001105,Klaricid 250mg tablets (Abbott Laboratories Ltd) (AMP)
29789111000001103,Clarithromycin 500mg tablets (Sigma Pharmaceuticals Plc) (AMP)
30031911000001106,Clarithromycin 125mg/5ml oral suspension (DE Pharmaceuticals) (AMP)
30041111000001109,Clarithromycin 250mg/5ml oral suspension (DE Pharmaceuticals) (AMP)
30761711000001102,Clarithromycin 125mg/5ml oral suspension (Almus Pharmaceuticals Ltd) (AMP)
30761911000001100,Clarithromycin 250mg/5ml oral suspension (Almus Pharmaceuticals Ltd) (AMP)
3253811000001107,Klaricid Adult 250mg granules sachets (Viatris UK Healthcare Ltd) (AMP)
33656011000001109,Xetinin XL 500mg tablets (Morningside Healthcare Ltd) (AMP)
35140911000001102,Clarithromycin 250mg tablets (Milpharm Ltd) (AMP)
35141111000001106,Clarithromycin 500mg tablets (Milpharm Ltd) (AMP)
35368711000001104,Clarithromycin 125mg/5ml oral suspension (VMP)
36142611000001107,Clarithromycin 500mg modified-release tablets (VMP)
36621611000001102,Clarithromycin 125mg/5ml oral suspension (Accord-UK Ltd) (AMP)
36621811000001103,Clarithromycin 250mg/5ml oral suspension (Accord-UK Ltd) (AMP)
36846911000001107,Clarithromycin 250mg tablets (Torrent Pharma (UK) Ltd) (AMP)
36847211000001101,Clarithromycin 500mg tablets (Torrent Pharma (UK) Ltd) (AMP)
37083211000001101,Clarithromycin 250mg/5ml oral suspension (VMP)
37402011000001108,Clarithromycin 250mg tablets (HEC Pharm GmbH) (AMP)
37402811000001102,Clarithromycin 500mg tablets (HEC Pharm GmbH) (AMP)
38836811000001108,Clarithromycin 250mg tablets (Medihealth (Northern) Ltd) (AMP)
38837011000001104,Clarithromycin 500mg tablets (Medihealth (Northern) Ltd) (AMP)
38840411000001105,Clarithromycin 125mg/5ml oral suspension (Medihealth (Northern) Ltd) (AMP)
38840711000001104,Clarithromycin 250mg/5ml oral suspension (Medihealth (Northern) Ltd) (AMP)
