code,term
11967711000001107,Clindamycin 150mg/5ml oral solution (Special Order) (AMP)
11969011000001101,Clindamycin 300mg/5ml oral solution (Special Order) (AMP)
12021411000001108,Clindamycin 150mg/5ml oral solution (VMP)
12021711000001102,Clindamycin 300mg/5ml oral solution (VMP)
13226511000001101,Clindamycin 150mg capsules (Dowelhurst Ltd) (AMP)
13704611000001105,Clindamycin 150mg capsules (Kent Pharma (UK) Ltd) (AMP)
14216311000001104,Dalacin C 150mg capsules (Sigma Pharmaceuticals Plc) (AMP)
15081111000001109,Clindamycin 150mg capsules (Sigma Pharmaceuticals Plc) (AMP)
16078411000001103,Dalacin C 150mg capsules (Waymade Healthcare Plc) (AMP)
16155611000001103,Dalacin C 150mg capsules (Lexon (UK) Ltd) (AMP)
17860011000001101,Clindamycin 150mg capsules (Phoenix Healthcare Distribution Ltd) (AMP)
18191411000001104,Dalacin C 150mg capsules (Mawdsley-Brooks & Company Ltd) (AMP)
18572211000001109,Dalacin C 150mg capsules (DE Pharmaceuticals) (AMP)
19213211000001104,Clindamycin 150mg capsules (Zentiva Pharma UK Ltd) (AMP)
21669011000001101,Clindamycin 300mg capsules (Creo Pharma Ltd) (AMP)
21711211000001104,Clindamycin 300mg capsules (VMP)
21732111000001107,Clindamycin 300mg capsules (A A H Pharmaceuticals Ltd) (AMP)
21858111000001109,Clindamycin 150mg capsules (Waymade Healthcare Plc) (AMP)
22164711000001102,Clindamycin 300mg capsules (Alliance Healthcare (Distribution) Ltd) (AMP)
27864611000001100,Clindamycin 75mg/5ml oral solution (VMP)
28693411000001100,Clindamycin 150mg capsules (Rivopharm (UK) Ltd) (AMP)
28693811000001103,Clindamycin 300mg capsules (Rivopharm (UK) Ltd) (AMP)
29789311000001101,Clindamycin 300mg capsules (Sigma Pharmaceuticals Plc) (AMP)
30041711000001105,Clindamycin 150mg capsules (DE Pharmaceuticals) (AMP)
30042211000001105,Clindamycin 300mg capsules (DE Pharmaceuticals) (AMP)
32705111000001105,Clindamycin 450mg/5ml oral solution (Special Order) (AMP)
32748011000001108,Clindamycin 450mg/5ml oral solution (VMP)
33041711000001109,Clindamycin 150mg capsules (Teva UK Ltd) (AMP)
33041911000001106,Clindamycin 300mg capsules (Teva UK Ltd) (AMP)
33634011000001103,Clindamycin 150mg capsules (Accord-UK Ltd) (AMP)
33634311000001100,Clindamycin 300mg capsules (Accord-UK Ltd) (AMP)
33933711000001104,Clindamycin 150mg capsules (Somex Pharma) (AMP)
34355711000001108,Clindamycin 150mg/5ml oral suspension (Special Order) (AMP)
34376711000001103,Clindamycin 150mg/5ml oral suspension (VMP)
35019811000001102,Clindamycin 150mg capsules (Healthcare Pharma Ltd) (AMP)
35638511000001105,Clindamycin 150mg capsules (Viatris UK Healthcare Ltd) (AMP)
35774311000001103,Clindamycin 300mg capsules (Viatris UK Healthcare Ltd) (AMP)
36646511000001108,Clindamycin 75mg capsules (Alliance Healthcare (Distribution) Ltd) (AMP)
3668311000001100,Dalacin C 150mg capsules (Pfizer Ltd) (AMP)
37053311000001104,Clindamycin 150mg capsules (Mawdsley-Brooks & Company Ltd) (AMP)
37053511000001105,Clindamycin 300mg capsules (Mawdsley-Brooks & Company Ltd) (AMP)
37334911000001104,Clindamycin 75mg capsules (Brown & Burk UK Ltd) (AMP)
37342311000001106,Clindamycin 150mg capsules (Brown & Burk UK Ltd) (AMP)
37343211000001109,Clindamycin 300mg capsules (Brown & Burk UK Ltd) (AMP)
38320011000001100,Clindamycin 150mg capsules (Morningside Healthcare Ltd) (AMP)
38322611000001108,Clindamycin 300mg capsules (Morningside Healthcare Ltd) (AMP)
38841011000001105,Clindamycin 150mg capsules (Medihealth (Northern) Ltd) (AMP)
38841311000001108,Clindamycin 300mg capsules (Medihealth (Northern) Ltd) (AMP)
3956511000001100,Dalacin C 75mg capsules (Pfizer Ltd) (AMP)
41507911000001100,Clindamycin 300mg capsules (Somex Pharma) (AMP)
41946611000001108,Clindamycin 150mg capsules (VMP)
41946711000001104,Clindamycin 75mg capsules (VMP)
4329711000001107,Clindamycin 150mg capsules (Sandoz Ltd) (AMP)
45108511000001102,Clindamycin 150mg capsules (Torrent Pharma (UK) Ltd) (AMP)
45108711000001107,Clindamycin 300mg capsules (Torrent Pharma (UK) Ltd) (AMP)
45269011000001101,Clindamycin 150mg capsules (Pfizer Ltd) (AMP)
4919711000001105,Clindamycin 150mg capsules (A A H Pharmaceuticals Ltd) (AMP)
775288004,Clindamycin (VTM)
7845611000001105,Clindamycin 150mg capsules (Alliance Healthcare (Distribution) Ltd) (AMP)
8351711000001105,Clindamycin 75mg/5ml oral solution (Special Order) (AMP)
8353211000001104,Clindamycin 75mg/5ml oral suspension (Drug Tariff Special Order) (AMP)
8360611000001101,Clindamycin 75mg/5ml oral suspension (VMP)
