code,term
101911000001100,Co-amoxiclav 250mg/125mg tablets (Alliance Healthcare (Distribution) Ltd) (AMP)
10397411000001104,Co-amoxiclav 250mg/125mg tablets (Arrow Generics Ltd) (AMP)
10397711000001105,Co-amoxiclav 500mg/125mg tablets (Arrow Generics Ltd) (AMP)
10844111000001108,Augmentin-Duo 400/57 oral suspension (Waymade Healthcare Plc) (AMP)
11252711000001103,Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free (A A H Pharmaceuticals Ltd) (AMP)
11528611000001104,Co-amoxiclav 250mg/62mg/5ml oral suspension (A A H Pharmaceuticals Ltd) (AMP)
12511000001105,Co-amoxiclav 250mg/125mg tablets (Kent Pharma (UK) Ltd) (AMP)
13613111000001106,Co-amoxiclav 125mg/31mg/5ml oral suspension (A A H Pharmaceuticals Ltd) (AMP)
13832611000001106,Augmentin-Duo 400/57 oral suspension (DE Pharmaceuticals) (AMP)
13832811000001105,Augmentin 625mg tablets (DE Pharmaceuticals) (AMP)
139811000001101,Ranclav 375mg tablets (Sun Pharma UK Ltd) (AMP)
14199011000001106,Augmentin-Duo 400/57 oral suspension (Sigma Pharmaceuticals Plc) (AMP)
14199211000001101,Augmentin 625mg tablets (Sigma Pharmaceuticals Plc) (AMP)
14946411000001104,Augmentin 375mg tablets (Waymade Healthcare Plc) (AMP)
15077811000001102,Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free (Sigma Pharmaceuticals Plc) (AMP)
15515811000001104,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free (Actavis UK Ltd) (AMP)
15516011000001101,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free (Actavis UK Ltd) (AMP)
16139311000001106,Augmentin 625mg tablets (Lexon (UK) Ltd) (AMP)
16139611000001101,Augmentin-Duo 400/57 oral suspension (Lexon (UK) Ltd) (AMP)
16269711000001100,Augmentin-Duo 400/57 oral suspension (Mawdsley-Brooks & Company Ltd) (AMP)
16270311000001101,Augmentin 625mg tablets (Mawdsley-Brooks & Company Ltd) (AMP)
169511000001107,Augmentin-Duo 400/57 oral suspension (GlaxoSmithKline UK Ltd) (AMP)
17493911000001104,Augmentin 375mg tablets (Mawdsley-Brooks & Company Ltd) (AMP)
17668811000001104,Co-amoxiclav 500mg/125mg tablets (Actavis UK Ltd) (AMP)
17885411000001101,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free (Phoenix Healthcare Distribution Ltd) (AMP)
17885611000001103,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free (Phoenix Healthcare Distribution Ltd) (AMP)
17885811000001104,Co-amoxiclav 250mg/125mg tablets (Phoenix Healthcare Distribution Ltd) (AMP)
17886011000001101,Co-amoxiclav 500mg/125mg tablets (Phoenix Healthcare Distribution Ltd) (AMP)
18051111000001107,Augmentin 375mg tablets (Lexon (UK) Ltd) (AMP)
18487711000001101,Augmentin 125/31 SF oral suspension (Waymade Healthcare Plc) (AMP)
18545611000001101,Augmentin 375mg tablets (DE Pharmaceuticals) (AMP)
18892611000001100,Augmentin 125/31 SF oral suspension (Mawdsley-Brooks & Company Ltd) (AMP)
19199611000001103,Co-amoxiclav 500mg/125mg tablets (Milpharm Ltd) (AMP)
193411000001109,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free (Sun Pharma UK Ltd) (AMP)
19692311000001101,Augmentin 250/62 SF oral suspension (Sigma Pharmaceuticals Plc) (AMP)
19728111000001103,Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free (Medreich Plc) (AMP)
19728511000001107,Co-amoxiclav 500mg/125mg tablets (Medreich Plc) (AMP)
19833711000001107,Co-amoxiclav 250mg/125mg tablets (APC Pharmaceuticals & Chemicals (Europe) Ltd) (AMP)
19833911000001109,Co-amoxiclav 500mg/125mg tablets (APC Pharmaceuticals & Chemicals (Europe) Ltd) (AMP)
19876911000001100,Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free (Alliance Healthcare (Distribution) Ltd) (AMP)
22007211000001105,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free (Waymade Healthcare Plc) (AMP)
22007711000001103,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free (Waymade Healthcare Plc) (AMP)
22008011000001104,Co-amoxiclav 125mg/31mg/5ml oral suspension (Waymade Healthcare Plc) (AMP)
22008411000001108,Co-amoxiclav 250mg/62mg/5ml oral suspension (Waymade Healthcare Plc) (AMP)
22009111000001105,Co-amoxiclav 250mg/125mg tablets (Waymade Healthcare Plc) (AMP)
22009611000001102,Co-amoxiclav 500mg/125mg tablets (Waymade Healthcare Plc) (AMP)
22036711000001105,Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free (Sandoz Ltd) (AMP)
22211000001104,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free (Sun Pharma UK Ltd) (AMP)
22602311000001108,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free (Colorama Pharmaceuticals Ltd) (AMP)
22602511000001102,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free (Colorama Pharmaceuticals Ltd) (AMP)
23651411000001107,Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free (Phoenix Healthcare Distribution Ltd) (AMP)
23827411000001108,Co-amoxiclav 250mg/125mg tablets (DE Pharmaceuticals) (AMP)
23828211000001108,Co-amoxiclav 500mg/125mg tablets (DE Pharmaceuticals) (AMP)
23939811000001105,Co-amoxiclav 125mg/31mg/5ml oral suspension (DE Pharmaceuticals) (AMP)
23940311000001109,Co-amoxiclav 250mg/62mg/5ml oral suspension (DE Pharmaceuticals) (AMP)
24026411000001105,Co-amoxiclav 125mg/31mg/5ml oral suspension (CST Pharma Ltd) (AMP)
