code,term
10405011000001108,Doxycycline 50mg capsules (Arrow Generics Ltd) (AMP)
10405211000001103,Doxycycline 100mg capsules (Arrow Generics Ltd) (AMP)
10724511000001104,Doxycycline 100mg capsules (Teva UK Ltd) (AMP)
11403911000001104,Doxycycline 50mg capsules (Almus Pharmaceuticals Ltd) (AMP)
11404211000001106,Doxycycline 100mg capsules (Almus Pharmaceuticals Ltd) (AMP)
13970711000001108,Vibramycin-D 100mg dispersible tablets (DE Pharmaceuticals) (AMP)
14161611000001103,Doxycycline 100mg capsules (Healthcare Pharma Ltd) (AMP)
14201611000001100,Doxycycline 50mg capsules (Healthcare Pharma Ltd) (AMP)
14758011000001101,Vibramycin-D 100mg dispersible tablets (Sigma Pharmaceuticals Plc) (AMP)
15083411000001100,Doxycycline 100mg capsules (Sigma Pharmaceuticals Plc) (AMP)
15656211000001107,Efracea 40mg modified-release capsules (Galderma (UK) Ltd) (AMP)
16680811000001103,Vibramycin-D 100mg dispersible tablets (Stephar (U.K.) Ltd) (AMP)
17472811000001106,Vibramycin-D 100mg dispersible tablets (Mawdsley-Brooks & Company Ltd) (AMP)
17894611000001103,Doxycycline 50mg capsules (Phoenix Healthcare Distribution Ltd) (AMP)
17894811000001104,Doxycycline 100mg capsules (Phoenix Healthcare Distribution Ltd) (AMP)
20562711000001106,Vibramycin-D 100mg dispersible tablets (Waymade Healthcare Plc) (AMP)
21933211000001100,Doxycycline 50mg capsules (Sovereign Medical Ltd) (AMP)
21933411000001101,Doxycycline 100mg capsules (Sovereign Medical Ltd) (AMP)
23880711000001109,Doxycycline 100mg capsules (DE Pharmaceuticals) (AMP)
23881111000001102,Doxycycline 50mg capsules (DE Pharmaceuticals) (AMP)
2847211000001103,Vibramycin-D 100mg dispersible tablets (Pfizer Ltd) (AMP)
2847611000001101,Doxycycline 50mg capsules (A A H Pharmaceuticals Ltd) (AMP)
2847811000001102,Doxycycline 50mg capsules (Accord-UK Ltd) (AMP)
2848011000001109,Doxycycline 50mg capsules (Teva UK Ltd) (AMP)
2848211000001104,Demix 50 capsules (Ashbourne Pharmaceuticals Ltd) (AMP)
2848411000001100,Doxycycline 50mg capsules (The Boots Company Plc) (AMP)
2848611000001102,Doxycycline 50mg capsules (IVAX Pharmaceuticals UK Ltd) (AMP)
2849111000001103,Doxycycline 50mg capsules (Kent Pharma (UK) Ltd) (AMP)
2849311000001101,Doxylar 50mg capsules (Sandoz Ltd) (AMP)
2849511000001107,Vibramycin 50 capsules (Pfizer Ltd) (AMP)
2849711000001102,Vibramycin Acne Pack 50mg capsules (Pfizer Ltd) (AMP)
2849911000001100,Doxycycline 50mg capsules (Alliance Healthcare (Distribution) Ltd) (AMP)
2850911000001108,Doxycycline 100mg capsules (A A H Pharmaceuticals Ltd) (AMP)
2851411000001109,Doxycycline 100mg capsules (Accord-UK Ltd) (AMP)
2851811000001106,Doxycycline 100mg capsules (Approved Prescription Services Ltd) (AMP)
2852111000001109,Demix 100 capsules (Ashbourne Pharmaceuticals Ltd) (AMP)
2852311000001106,Doxycycline 100mg capsules (The Boots Company Plc) (AMP)
2852511000001100,Doxycycline 100mg capsules (IVAX Pharmaceuticals UK Ltd) (AMP)
2852911000001107,Doxycycline 100mg capsules (Viatris UK Healthcare Ltd) (AMP)
2853211000001109,Doxycycline 100mg capsules (Kent Pharma (UK) Ltd) (AMP)
2853411000001108,Doxylar 100mg capsules (Sandoz Ltd) (AMP)
2853611000001106,Vibrox 100mg capsules (Kent Pharma (UK) Ltd) (AMP)
2854011000001102,Vibramycin 100mg capsules (Pfizer Ltd) (AMP)
2854311000001104,Doxycycline 100mg capsules (Alliance Healthcare (Distribution) Ltd) (AMP)
28920911000001107,Efracea 40mg modified-release capsules (Waymade Healthcare Plc) (AMP)
29836111000001100,Doxycycline 50mg capsules (Sigma Pharmaceuticals Plc) (AMP)
30123211000001107,Doxycycline 100mg capsules (Mawdsley-Brooks & Company Ltd) (AMP)
32874411000001105,Doxycycline 100mg/5ml oral suspension (Special Order) (AMP)
32876211000001101,Doxycycline 100mg/5ml oral suspension (VMP)
36564611000001104,Doxycycline 40mg modified-release capsules (VMP)
37071111000001104,Doxycycline 50mg capsules (Mawdsley-Brooks & Company Ltd) (AMP)
37896911000001104,Doxycycline 100mg capsules (Drugsrus Ltd) (AMP)
37897811000001106,Doxycycline 50mg capsules (Drugsrus Ltd) (AMP)
38250911000001106,Doxycycline 100mg tablets (Ennogen Pharma Ltd) (AMP)
38877111000001100,Doxycycline 100mg capsules (Medihealth (Northern) Ltd) (AMP)
38877411000001105,Doxycycline 50mg capsules (Medihealth (Northern) Ltd) (AMP)
3959411000001106,Periostat 20mg tablets (Universal Medicines Ltd) (AMP)
39710311000001106,Doxycycline 100mg dispersible tablets sugar free (VMP)
41347211000001101,Doxycycline 50mg capsules (Genesis Pharmaceuticals Ltd) (AMP)
41347411000001102,Doxycycline 100mg capsules (Genesis Pharmaceuticals Ltd) (AMP)
41948311000001104,Doxycycline 100mg capsules (VMP)
41948411000001106,Doxycycline 100mg tablets (VMP)
41948511000001105,Doxycycline 20mg tablets (VMP)
41948611000001109,Doxycycline 50mg capsules (VMP)
42484111000001104,Doxycycline 100mg capsules (AAH Hillcross) (AMP)
42831211000001105,Doxycycline 100mg dispersible tablets sugar free (Drugsrus Ltd) (AMP)
5622111000001100,Vibramycin-D 100mg dispersible tablets (Dowelhurst Ltd) (AMP)
7432211000001109,Doxycycline 50mg capsules (Viatris UK Healthcare Ltd) (AMP)
775698003,Doxycycline (VTM)
8458111000001109,Doxycycline 50mg/5ml oral solution (Special Order) (AMP)
8459211000001108,Doxycycline 50mg/5ml oral suspension (Drug Tariff Special Order) (AMP)
8485211000001101,Doxycycline 50mg/5ml oral solution (VMP)
8485311000001109,Doxycycline 50mg/5ml oral suspension (VMP)
