code,term
10058006,Miscarriage with amniotic fluid embolism
10217006,Third degree perineal laceration
102500002,Good neonatal condition at birth
102501003,Well male newborn
102502005,Well female newborn
102503000,Well premature newborn
102504006,Well premature male newborn
102505007,Well premature female newborn
102879009,Post-term delivery
10455003,Removal of ectopic cervical pregnancy by evacuation
106009009,Fetal condition affecting obstetrical care of mother
10697004,Miscarriage complicated by renal failure
10743881000119104,Suspected fetal abnormality affecting management of mother
10745001,Delivery of transverse presentation
10749691000119103,Obstetric anesthesia with cardiac complication in childbirth
10749811000119108,Obstetric anesthesia with central nervous system complication in childbirth
10751511000119105,Obstructed labor due to incomplete rotation of fetal head
10751581000119104,Obstructed labor due to disproportion between fetus and pelvis
10751631000119101,Obstructed labor due to abnormality of maternal pelvis
10751701000119102,Spontaneous onset of labor between 37 and 39 weeks gestation with planned cesarean section
10753181000119105,Premature rupture of membranes in full term pregnancy with onset of labor within 24 hours of rupture
10753231000119104,Premature rupture of membranes in full term pregnancy with onset of labor more than 24 hours after rupture
10753281000119103,Premature rupture of membranes in full term pregnancy with onset of labor unknown
10753491000119101,Gestational diabetes mellitus in childbirth
10754331000119108,Air embolism in childbirth
10755951000119102,Heart murmur in mother in childbirth
10759611000119105,Preterm premature rupture of membranes with onset of labor later than 24 hours after rupture
10759661000119108,Preterm premature rupture of membranes with onset of labor unknown
10759711000119103,Preterm premature rupture of membranes with onset of labor within 24 hours of rupture
10760081000119108,Pyemic and septic embolism in childbirth
10760261000119106,Uterine laceration during delivery
10760661000119109,"Triplets, some live born"
10760701000119102,"Quadruplets, all live born"
10760741000119100,"Quadruplets, some live born"
10760781000119105,"Quintuplets, all live born"
10760821000119100,"Quintuplets, some live born"
10760861000119105,"Sextuplets, all live born"
10760901000119104,"Sextuplets, some live born"
10761101000119105,Vacuum assisted vaginal delivery
10761141000119107,Preterm labor in second trimester with preterm delivery in second trimester
10761191000119104,Preterm labor in third trimester with preterm delivery in third trimester
10761241000119104,Preterm labor with preterm delivery
10763001,Therapeutic abortion by insertion of laminaria
10808861000119105,Maternal distress during childbirth
10835781000119105,Amniotic fluid embolism in childbirth
10836111000119108,Dislocation of symphysis pubis in labor and delivery
11026009,Miscarriage with renal tubular necrosis
1105781000000106,Misoprostol induction of labour
1105791000000108,Mifepristone induction of labour
1105801000000107,Clitoral tear during delivery
11109001,Miscarriage with uremia
111431001,Legal abortion complicated by damage to pelvic organs AND/OR tissues
111432008,Legal abortion with air embolism
112070001,Onset of labor induced
112071002,Postmature pregnancy delivered
112075006,Premature birth of newborn sextuplets
1125006,Sepsis during labor
112925006,Repair of obstetric laceration of vulva
112926007,Suture of obstetric laceration of vagina
112927003,Manual rotation of fetal head
11373009,Illegal abortion with sepsis
1141750000,Physiological delivery of placenta
11466000,Cesarean section
1147951000000100,Delivery following termination of pregnancy
1147961000000102,Breech delivery following termination of pregnancy
1147971000000109,Cephalic delivery following termination of pregnancy
1167981000000101,Ultrasound scan for chorionicity
118182003,Finding related to amniotic fluid turnover
118215003,Delivery finding
118216002,Labor finding
1187861000000101,Selective destruction of fetus by percutaneous intrafetal laser ablation of umbilical cord
11914001,Transverse OR oblique presentation of fetus
11942004,Perineal laceration involving pelvic floor
