code,term
10060511000001100,Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free (Abbott Laboratories Ltd) (AMP)
10060711000001105,Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free (Abbott Laboratories Ltd) (AMP)
10060911000001107,Erythromycin ethyl succinate 500mg/5ml oral suspension sugar free (Abbott Laboratories Ltd) (AMP)
10139811000001105,Erythromycin 250mg gastro-resistant capsules (Kent Pharma (UK) Ltd) (AMP)
10307311000001109,Erythromycin ethyl succinate 125mg/5ml oral suspension (Focus Pharmaceuticals Ltd) (AMP)
10307511000001103,Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free (Focus Pharmaceuticals Ltd) (AMP)
10307711000001108,Erythromycin ethyl succinate 250mg/5ml oral suspension (Focus Pharmaceuticals Ltd) (AMP)
10308011000001107,Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free (Focus Pharmaceuticals Ltd) (AMP)
10308311000001105,Erythromycin ethyl succinate 500mg/5ml oral suspension (Focus Pharmaceuticals Ltd) (AMP)
10308511000001104,Erythromycin ethyl succinate 500mg/5ml oral suspension sugar free (Focus Pharmaceuticals Ltd) (AMP)
103911000001104,Erythromycin ethyl succinate 250mg/5ml oral suspension (Sandoz Ltd) (AMP)
10406211000001109,Erythromycin 250mg gastro-resistant capsules (Arrow Generics Ltd) (AMP)
10406411000001108,Erythromycin 250mg gastro-resistant tablets (Arrow Generics Ltd) (AMP)
10536411000001109,Erythroped A 500mg tablets (Waymade Healthcare Plc) (AMP)
108811000001104,Erythroped SF 250mg/5ml oral suspension (Advanz Pharma) (AMP)
11020911000001106,Erythromycin 250mg gastro-resistant tablets (Dr Reddy's Laboratories (UK) Ltd) (AMP)
126311000001101,Erythromycin 250mg gastro-resistant tablets (Viatris UK Healthcare Ltd) (AMP)
13620311000001107,Erythromycin ethyl succinate 125mg/5ml oral suspension (Pinewood Healthcare) (AMP)
13620511000001101,Erythromycin ethyl succinate 250mg/5ml oral suspension (Pinewood Healthcare) (AMP)
13620711000001106,Erythromycin ethyl succinate 500mg/5ml oral suspension (Pinewood Healthcare) (AMP)
13620911000001108,Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free (Pinewood Healthcare) (AMP)
13621111000001104,Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free (Pinewood Healthcare) (AMP)
13621311000001102,Erythromycin ethyl succinate 500mg/5ml oral suspension sugar free (Pinewood Healthcare) (AMP)
13875411000001102,Erythrocin 500 tablets (DE Pharmaceuticals) (AMP)
14222611000001101,Erythrocin 500 tablets (Sigma Pharmaceuticals Plc) (AMP)
14223111000001103,Erythroped A 500mg tablets (Sigma Pharmaceuticals Plc) (AMP)
16172811000001109,Erythroped A 500mg tablets (Lexon (UK) Ltd) (AMP)
16544311000001103,Erythrocin 500 tablets (Stephar (U.K.) Ltd) (AMP)
165611000001108,Tiloryth 250mg gastro-resistant capsules (Tillomed Laboratories Ltd) (AMP)
16572211000001101,Erythroped A 500mg tablets (Mawdsley-Brooks & Company Ltd) (AMP)
17198711000001106,Erythromycin 250mg gastro-resistant tablets (Sovereign Medical Ltd) (AMP)
173511000001103,Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free (Teva UK Ltd) (AMP)
17503311000001109,Erythrocin 500 tablets (Mawdsley-Brooks & Company Ltd) (AMP)
17627611000001109,Erythrolar 500mg tablets (Ennogen Pharma Ltd) (AMP)
17628011000001101,Erythrolar 250mg tablets (Ennogen Pharma Ltd) (AMP)
177211000001105,Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free (A A H Pharmaceuticals Ltd) (AMP)
178911000001100,Erythroped Forte SF 500mg/5ml oral suspension (Advanz Pharma) (AMP)
17899311000001109,Erythromycin ethyl succinate 500mg tablets (Sigma Pharmaceuticals Plc) (AMP)
17902011000001107,Erythromycin 250mg gastro-resistant capsules (Phoenix Healthcare Distribution Ltd) (AMP)
17902311000001105,Erythromycin ethyl succinate 125mg/5ml oral suspension (Phoenix Healthcare Distribution Ltd) (AMP)
17902611000001100,Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free (Phoenix Healthcare Distribution Ltd) (AMP)
17902811000001101,Erythromycin ethyl succinate 250mg/5ml oral suspension (Phoenix Healthcare Distribution Ltd) (AMP)
17903011000001103,Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free (Phoenix Healthcare Distribution Ltd) (AMP)
17903311000001100,Erythromycin ethyl succinate 500mg/5ml oral suspension (Phoenix Healthcare Distribution Ltd) (AMP)
17903511000001106,Erythromycin ethyl succinate 500mg/5ml oral suspension sugar free (Phoenix Healthcare Distribution Ltd) (AMP)
17903711000001101,Erythromycin 250mg gastro-resistant tablets (Phoenix Healthcare Distribution Ltd) (AMP)
18056411000001108,Erythrocin 500 tablets (Lexon (UK) Ltd) (AMP)
18257211000001100,Erythrocin 500 tablets (Necessity Supplies Ltd) (AMP)
18257511000001102,Erythroped A 500mg tablets (Necessity Supplies Ltd) (AMP)
18281911000001106,Erythromycin 250mg gastro-resistant tablets (Strides Pharma UK Ltd) (AMP)
19191611000001104,Erythromycin 250mg gastro-resistant tablets (Milpharm Ltd) (AMP)
19733011000001108,Erythromycin 250mg gastro-resistant tablets (Medreich Plc) (AMP)
20962611000001108,Erythromycin 250mg gastro-resistant capsules (Actavis UK Ltd) (AMP)
21935011000001106,Erythromycin 250mg gastro-resistant capsules (Waymade Healthcare Plc) (AMP)
21935211000001101,Erythromycin ethyl succinate 125mg/5ml oral suspension (Waymade Healthcare Plc) (AMP)
21975211000001103,Erythromycin ethyl succinate 250mg/5ml oral suspension (Waymade Healthcare Plc) (AMP)
21975411000001104,Erythromycin ethyl succinate 500mg/5ml oral suspension (Waymade Healthcare Plc) (AMP)
21975611000001101,Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free (Waymade Healthcare Plc) (AMP)
21975811000001102,Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free (Waymade Healthcare Plc) (AMP)
21976011000001104,Erythromycin ethyl succinate 500mg/5ml oral suspension sugar free (Waymade Healthcare Plc) (AMP)
21976211000001109,Erythromycin 250mg gastro-resistant tablets (Waymade Healthcare Plc) (AMP)
22878811000001100,Erythrocin 500 tablets (Waymade Healthcare Plc) (AMP)
231611000001103,Erythromycin ethyl succinate 125mg/5ml oral suspension (Sandoz Ltd) (AMP)
235411000001103,Rommix 250 EC tablets (Ashbourne Pharmaceuticals Ltd) (AMP)
237511000001108,Erythromycin ethyl succinate 500mg/5ml oral suspension (Kent Pharma (UK) Ltd) (AMP)
23902711000001102,Erythromycin ethyl succinate 125mg/5ml oral suspension (DE Pharmaceuticals) (AMP)
23902911000001100,Erythromycin ethyl succinate 250mg/5ml oral suspension (DE Pharmaceuticals) (AMP)
23903111000001109,Erythromycin ethyl succinate 500mg/5ml oral suspension (DE Pharmaceuticals) (AMP)
23903311000001106,Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free (DE Pharmaceuticals) (AMP)
23903511000001100,Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free (DE Pharmaceuticals) (AMP)
23903711000001105,Erythromycin ethyl succinate 500mg/5ml oral suspension sugar free (DE Pharmaceuticals) (AMP)
23903911000001107,Erythromycin 250mg gastro-resistant tablets (DE Pharmaceuticals) (AMP)
24099111000001103,Erythromycin 250mg gastro-resistant tablets (Waymade Healthcare Plc) (AMP)
2411000001108,Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free (IVAX Pharmaceuticals UK Ltd) (AMP)
24389111000001103,Erythromycin 250mg gastro-resistant tablets (Bristol Laboratories Ltd) (AMP)
258211000001108,Erythromycin 250mg gastro-resistant capsules (Alliance Healthcare (Distribution) Ltd) (AMP)
273611000001101,Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free (IVAX Pharmaceuticals UK Ltd) (AMP)
274611000001103,Erythrocin 250 tablets (Advanz Pharma) (AMP)
294211000001105,Erythroped PI SF 125mg/5ml oral suspension (Advanz Pharma) (AMP)
29851811000001101,Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free (Sigma Pharmaceuticals Plc) (AMP)
29852211000001109,Erythromycin ethyl succinate 125mg/5ml oral suspension (Sigma Pharmaceuticals Plc) (AMP)
29852611000001106,Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free (Sigma Pharmaceuticals Plc) (AMP)
29856111000001104,Erythromycin ethyl succinate 250mg/5ml oral suspension (Sigma Pharmaceuticals Plc) (AMP)
29856311000001102,Erythromycin 250mg gastro-resistant tablets (Sigma Pharmaceuticals Plc) (AMP)
29856611000001107,Erythromycin ethyl succinate 500mg/5ml oral suspension (Sigma Pharmaceuticals Plc) (AMP)
30125811000001107,Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free (Mawdsley-Brooks & Company Ltd) (AMP)
30611000001101,Erythrocin 500 tablets (Advanz Pharma) (AMP)
30810111000001105,Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free (Mawdsley-Brooks & Company Ltd) (AMP)
30825911000001105,Erythromycin 250mg gastro-resistant tablets (Mawdsley-Brooks & Company Ltd) (AMP)
32163811000001106,Erythromycin ethyl succinate 500mg tablets (Drugsrus Ltd) (AMP)
32506411000001108,Erythromycin ethyl succinate 500mg tablets (Alliance Healthcare (Distribution) Ltd) (AMP)
32800711000001104,Erythromycin 250mg gastro-resistant tablets (Genesis Pharmaceuticals Ltd) (AMP)
348611000001104,Erythromycin ethyl succinate 500mg/5ml oral suspension (A A H Pharmaceuticals Ltd) (AMP)
35996611000001100,Erythromycin 250mg gastro-resistant tablets (Ennogen Healthcare International Ltd) (AMP)
36064711000001106,Erythromycin 250mg gastro-resistant capsules (VMP)
364011000001109,Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free (Alliance Healthcare (Distribution) Ltd) (AMP)
36408511000001102,Erythromycin ethyl succinate (VTM)
364211000001104,Erythromycin ethyl succinate 500mg/5ml oral suspension sugar free (IVAX Pharmaceuticals UK Ltd) (AMP)
36564711000001108,Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free (VMP)
37149211000001103,Erythromycin ethyl succinate 500mg tablets (P.I.E. Pharma Ltd) (AMP)
37369311000001108,Erythrocin 250 tablets (CST Pharma Ltd) (AMP)
37369811000001104,Erythrocin 500 tablets (CST Pharma Ltd) (AMP)
