code,term
1258986006,Face-to-face encounter
1269515004,Face to face consultation with patient
153535003,Emergency appointment
153538001,Weekend consultation at surgery
185352006,Emergency appointment
185466002,Home visit for urgent condition
2365641000000100,Group face to face consultation
2365651000000102,Face to face encounter with third party
288566000,General practice examination room
288567009,General practice treatment room
288568004,General practice consulting room
319981000000104,Seen in urgent care centre
319991000000102,Seen in primary care urgent care centre 
320001000000106,Seen in primary care urgent care centre 
325861000000105,Face to face consultation encounter type
325941000000100,Face to face assessment encounter type
34181000000106,Out of hours consultation at surgery
34191000000108,Out of hours consultation at surgery
515581000000105,Seen by urgent care team
515591000000107,Seen by urgent care team 
748851000000104,Emergency appointment
