code,term
10536611000001107,Famvir 250mg tablets (Waymade Healthcare Plc) (AMP)
13875711000001108,Famvir 250mg tablets (DE Pharmaceuticals) (AMP)
13875911000001105,Famvir 750mg tablets (DE Pharmaceuticals) (AMP)
14231611000001105,Famvir 125mg tablets (Sigma Pharmaceuticals Plc) (AMP)
14231811000001109,Famvir 250mg tablets (Sigma Pharmaceuticals Plc) (AMP)
14232011000001106,Famvir 750mg tablets (Sigma Pharmaceuticals Plc) (AMP)
14968011000001101,Famciclovir 500mg tablets (A A H Pharmaceuticals Ltd) (AMP)
14968411000001105,Famciclovir 750mg tablets (A A H Pharmaceuticals Ltd) (AMP)
14969811000001100,Famciclovir 125mg tablets (A A H Pharmaceuticals Ltd) (AMP)
14970011000001109,Famciclovir 250mg tablets (A A H Pharmaceuticals Ltd) (AMP)
15018511000001108,Famciclovir 125mg tablets (Alliance Healthcare (Distribution) Ltd) (AMP)
15018711000001103,Famciclovir 250mg tablets (Alliance Healthcare (Distribution) Ltd) (AMP)
15019011000001105,Famciclovir 500mg tablets (Alliance Healthcare (Distribution) Ltd) (AMP)
15019411000001101,Famciclovir 750mg tablets (Alliance Healthcare (Distribution) Ltd) (AMP)
15025011000001100,Famciclovir 125mg tablets (Teva UK Ltd) (AMP)
15025211000001105,Famciclovir 250mg tablets (Teva UK Ltd) (AMP)
15025611000001107,Famciclovir 500mg tablets (Teva UK Ltd) (AMP)
15365911000001105,Famciclovir 125mg tablets (Arrow Generics Ltd) (AMP)
15366111000001101,Famciclovir 250mg tablets (Arrow Generics Ltd) (AMP)
15366311000001104,Famciclovir 500mg tablets (Arrow Generics Ltd) (AMP)
15366511000001105,Famciclovir 750mg tablets (Arrow Generics Ltd) (AMP)
15377511000001104,Famciclovir 750mg tablets (Teva UK Ltd) (AMP)
16173611000001100,Famvir 125mg tablets (Lexon (UK) Ltd) (AMP)
16175211000001103,Famvir 250mg tablets (Lexon (UK) Ltd) (AMP)
16175411000001104,Famvir 750mg tablets (Lexon (UK) Ltd) (AMP)
16576011000001105,Famvir 250mg tablets (Mawdsley-Brooks & Company Ltd) (AMP)
16576211000001100,Famvir 750mg tablets (Mawdsley-Brooks & Company Ltd) (AMP)
16589611000001100,Famciclovir 750mg tablets (Zentiva Pharma UK Ltd) (AMP)
16589911000001106,Famciclovir 250mg tablets (Zentiva Pharma UK Ltd) (AMP)
16590611000001105,Famciclovir 125mg tablets (Zentiva Pharma UK Ltd) (AMP)
16625511000001100,Famciclovir 250mg tablets (Viatris UK Healthcare Ltd) (AMP)
16655911000001108,Famciclovir 125mg tablets (Actavis UK Ltd) (AMP)
16656111000001104,Famciclovir 250mg tablets (Actavis UK Ltd) (AMP)
16656311000001102,Famciclovir 500mg tablets (Actavis UK Ltd) (AMP)
16656511000001108,Famciclovir 750mg tablets (Actavis UK Ltd) (AMP)
17904311000001103,Famciclovir 125mg tablets (Phoenix Healthcare Distribution Ltd) (AMP)
17904511000001109,Famciclovir 250mg tablets (Phoenix Healthcare Distribution Ltd) (AMP)
17904711000001104,Famciclovir 500mg tablets (Phoenix Healthcare Distribution Ltd) (AMP)
17904911000001102,Famciclovir 750mg tablets (Phoenix Healthcare Distribution Ltd) (AMP)
18260511000001108,Famvir 125mg tablets (Necessity Supplies Ltd) (AMP)
18260711000001103,Famvir 250mg tablets (Necessity Supplies Ltd) (AMP)
18260911000001101,Famvir 750mg tablets (Necessity Supplies Ltd) (AMP)
20288511000001105,Famciclovir 125mg tablets (Sandoz Ltd) (AMP)
20288711000001100,Famciclovir 250mg tablets (Sandoz Ltd) (AMP)
20289111000001108,Famciclovir 500mg tablets (Sandoz Ltd) (AMP)
206711000001105,Famvir 750mg tablets (Novartis Pharmaceuticals UK Ltd) (AMP)
21978111000001104,Famciclovir 125mg tablets (Waymade Healthcare Plc) (AMP)
21978311000001102,Famciclovir 250mg tablets (Waymade Healthcare Plc) (AMP)
21978611000001107,Famciclovir 500mg tablets (Waymade Healthcare Plc) (AMP)
21978811000001106,Famciclovir 750mg tablets (Waymade Healthcare Plc) (AMP)
23976711000001105,Famciclovir 250mg tablets (DE Pharmaceuticals) (AMP)
24015111000001101,Famciclovir 750mg tablets (Special Order) (AMP)
29858911000001102,Famciclovir 125mg tablets (Sigma Pharmaceuticals Plc) (AMP)
29859111000001107,Famciclovir 250mg tablets (Sigma Pharmaceuticals Plc) (AMP)
29859311000001109,Famciclovir 500mg tablets (Sigma Pharmaceuticals Plc) (AMP)
30126811000001104,Famciclovir 125mg tablets (Mawdsley-Brooks & Company Ltd) (AMP)
30127011000001108,Famciclovir 250mg tablets (Mawdsley-Brooks & Company Ltd) (AMP)
30127311000001106,Famciclovir 500mg tablets (Mawdsley-Brooks & Company Ltd) (AMP)
35211511000001108,Famciclovir 125mg tablets (Rivopharm (UK) Ltd) (AMP)
35211811000001106,Famciclovir 250mg tablets (Rivopharm (UK) Ltd) (AMP)
35212311000001106,Famciclovir 500mg tablets (Rivopharm (UK) Ltd) (AMP)
37378611000001103,Famciclovir 125mg tablets (DE Pharmaceuticals) (AMP)
37379011000001100,Famciclovir 500mg tablets (DE Pharmaceuticals) (AMP)
38713211000001105,Famciclovir 125mg tablets (Ennogen Healthcare International Ltd) (AMP)
38713411000001109,Famciclovir 250mg tablets (Ennogen Healthcare International Ltd) (AMP)
38713811000001106,Famciclovir 500mg tablets (Ennogen Healthcare International Ltd) (AMP)
38899211000001108,Famciclovir 500mg tablets (Medihealth (Northern) Ltd) (AMP)
38899411000001107,Famciclovir 250mg tablets (Medihealth (Northern) Ltd) (AMP)
41106711000001109,Famciclovir 250mg tablets (Accord-UK Ltd) (AMP)
41107111000001106,Famciclovir 500mg tablets (Accord-UK Ltd) (AMP)
41128211000001106,Famciclovir 125mg tablets (Accord-UK Ltd) (AMP)
41486011000001109,Famciclovir 125mg tablets (VMP)
41486111000001105,Famciclovir 250mg tablets (VMP)
41486211000001104,Famciclovir 500mg tablets (VMP)
41486311000001107,Famciclovir 750mg tablets (VMP)
42197911000001107,Famciclovir 250mg tablets (Pilsco Ltd) (AMP)
42347111000001108,Famciclovir 500mg tablets (Pilsco Ltd) (AMP)
42575011000001102,Famciclovir 250mg tablets (CST Pharma Ltd) (AMP)
42687611000001104,Famciclovir 500mg tablets (CST Pharma Ltd) (AMP)
42831411000001109,Famciclovir 250mg tablets (Drugsrus Ltd) (AMP)
42983311000001101,Famciclovir 125mg tablets (Relonchem Ltd) (AMP)
42983511000001107,Famciclovir 250mg tablets (Relonchem Ltd) (AMP)
42983711000001102,Famciclovir 500mg tablets (Relonchem Ltd) (AMP)
5363511000001103,Famvir 125mg tablets (Waymade Healthcare Plc) (AMP)
5364111000001109,Famvir 750mg tablets (Waymade Healthcare Plc) (AMP)
5462211000001101,Famciclovir 125mg tablets (Dowelhurst Ltd) (AMP)
5462811000001100,Famciclovir 750mg tablets (Dowelhurst Ltd) (AMP)
5463011000001102,Famciclovir 250mg tablets (Dowelhurst Ltd) (AMP)
5542711000001107,Famvir 125mg tablets (Dowelhurst Ltd) (AMP)
5543811000001107,Famvir 500mg tablets (Dowelhurst Ltd) (AMP)
5544111000001103,Famvir 750mg tablets (Dowelhurst Ltd) (AMP)
