code,term
103311000001100,Flucloxacillin 125mg/5ml oral solution (Accord-UK Ltd) (AMP)
10407811000001107,Flucloxacillin 250mg capsules (Arrow Generics Ltd) (AMP)
10408011000001100,Flucloxacillin 500mg capsules (Arrow Generics Ltd) (AMP)
10454211000001105,Flucloxacillin 125mg/5ml oral solution (Arrow Generics Ltd) (AMP)
11268511000001102,Flucloxacillin 250mg/5ml oral solution (A A H Pharmaceuticals Ltd) (AMP)
120711000001100,Flucloxacillin 250mg capsules (A A H Pharmaceuticals Ltd) (AMP)
135511000001102,Flucloxacillin 250mg capsules (Sandoz Ltd) (AMP)
13578111000001101,Flucloxacillin 125mg/5ml oral solution (DE Pharmaceuticals) (AMP)
13578311000001104,Flucloxacillin 250mg/5ml oral solution (DE Pharmaceuticals) (AMP)
138411000001106,Flucloxacillin 125mg/5ml oral solution (Kent Pharma (UK) Ltd) (AMP)
15087311000001100,Flucloxacillin 250mg capsules (Sigma Pharmaceuticals Plc) (AMP)
15087511000001106,Flucloxacillin 500mg capsules (Sigma Pharmaceuticals Plc) (AMP)
16050611000001101,Flucloxacillin 250mg capsules (Bristol Laboratories Ltd) (AMP)
16050911000001107,Flucloxacillin 500mg capsules (Bristol Laboratories Ltd) (AMP)
16086311000001101,Flucloxacillin 250mg/5ml oral solution (Accord-UK Ltd) (AMP)
16086611000001106,Flucloxacillin 250mg/5ml oral solution sugar free (Accord-UK Ltd) (AMP)
16086911000001100,Flucloxacillin 125mg/5ml oral solution sugar free (Accord-UK Ltd) (AMP)
16089611000001103,Flucloxacillin 125mg/5ml oral solution sugar free (VMP)
16089711000001107,Flucloxacillin 250mg/5ml oral solution sugar free (VMP)
16247911000001103,Flucloxacillin 125mg/5ml oral solution sugar free (Kent Pharma (UK) Ltd) (AMP)
16248111000001100,Flucloxacillin 250mg/5ml oral solution sugar free (Kent Pharma (UK) Ltd) (AMP)
16443111000001108,Flucloxacillin 125mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd) (AMP)
16443611000001100,Flucloxacillin 250mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd) (AMP)
17908511000001102,Flucloxacillin 250mg capsules (Phoenix Healthcare Distribution Ltd) (AMP)
17908811000001104,Flucloxacillin 500mg capsules (Phoenix Healthcare Distribution Ltd) (AMP)
18107711000001103,Flucloxacillin 125mg/5ml oral solution (Phoenix Healthcare Distribution Ltd) (AMP)
18107911000001101,Flucloxacillin 250mg/5ml oral solution (Phoenix Healthcare Distribution Ltd) (AMP)
18722811000001105,Flucloxacillin 250mg/5ml oral solution (Alliance Healthcare (Distribution) Ltd) (AMP)
19193011000001107,Flucloxacillin 250mg capsules (Milpharm Ltd) (AMP)
19193211000001102,Flucloxacillin 500mg capsules (Milpharm Ltd) (AMP)
19193411000001103,Flucloxacillin 125mg/5ml oral solution (Milpharm Ltd) (AMP)
194111000001102,Flucloxacillin 250mg capsules (IVAX Pharmaceuticals UK Ltd) (AMP)
19728911000001100,Flucloxacillin 250mg capsules (Medreich Plc) (AMP)
19729111000001105,Flucloxacillin 500mg capsules (Medreich Plc) (AMP)
20136411000001100,Flucloxacillin 125mg/5ml oral solution (Crescent Pharma Ltd) (AMP)
20137211000001102,Flucloxacillin 250mg/5ml oral solution (Crescent Pharma Ltd) (AMP)
207211000001101,Flucloxacillin 125mg/5ml oral solution (Alliance Healthcare (Distribution) Ltd) (AMP)
21996911000001108,Flucloxacillin 250mg capsules (Waymade Healthcare Plc) (AMP)
21997211000001102,Flucloxacillin 500mg capsules (Waymade Healthcare Plc) (AMP)
21997511000001104,Flucloxacillin 125mg/5ml oral solution sugar free (Waymade Healthcare Plc) (AMP)
21997711000001109,Flucloxacillin 250mg/5ml oral solution sugar free (Waymade Healthcare Plc) (AMP)
21997911000001106,Flucloxacillin 125mg/5ml oral solution (Waymade Healthcare Plc) (AMP)
21998111000001109,Flucloxacillin 250mg/5ml oral solution (Waymade Healthcare Plc) (AMP)
220311000001101,Flucloxacillin 250mg capsules (Sun Pharma UK Ltd) (AMP)
22706111000001100,Flucloxacillin sodium 125mg/5ml oral suspension (Medreich Plc) (AMP)
22751511000001108,Flucloxacillin sodium 125mg/5ml oral suspension (VMP)
23189811000001102,Flucloxacillin 125mg/5ml oral solution (Medreich Plc) (AMP)
23907811000001108,Flucloxacillin 250mg capsules (DE Pharmaceuticals) (AMP)
23908511000001109,Flucloxacillin 500mg capsules (DE Pharmaceuticals) (AMP)
23979011000001102,Flucloxacillin 125mg/5ml oral solution sugar free (DE Pharmaceuticals) (AMP)
23979211000001107,Flucloxacillin 250mg/5ml oral solution sugar free (DE Pharmaceuticals) (AMP)
251311000001107,Fluclomix 250 capsules (Ashbourne Pharmaceuticals Ltd) (AMP)
27126211000001105,Flucloxacillin 125mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd) (AMP)
27126411000001109,Flucloxacillin 250mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd) (AMP)
28096311000001109,Flucloxacillin 125mg/5ml oral solution sugar free (Almus Pharmaceuticals Ltd) (AMP)
28096511000001103,Flucloxacillin 250mg/5ml oral solution sugar free (Almus Pharmaceuticals Ltd) (AMP)
289411000001107,Flucloxacillin 500mg capsules (A A H Pharmaceuticals Ltd) (AMP)
30130811000001104,Flucloxacillin 250mg capsules (Mawdsley-Brooks & Company Ltd) (AMP)
30131011000001101,Flucloxacillin 500mg capsules (Mawdsley-Brooks & Company Ltd) (AMP)
3111000001109,Flucloxacillin 500mg capsules (Accord-UK Ltd) (AMP)
32611000001100,Flucloxacillin 500mg capsules (Alliance Healthcare (Distribution) Ltd) (AMP)
333211000001105,Flucloxacillin 250mg capsules (Teva UK Ltd) (AMP)
337811000001100,Flucloxacillin 125mg/5ml oral solution (Viatris UK Healthcare Ltd) (AMP)
36738011000001105,Flucloxacillin 500mg capsules (Noumed Life Sciences Ltd) (AMP)
37506211000001106,Flucloxacillin 250mg capsules (Noumed Life Sciences Ltd) (AMP)
37732211000001103,Flucloxacillin 250mg/5ml oral solution sugar free (Novelgenix Therapeutics Ltd) (AMP)
