code,term
18162111000001102,Fosfomycin 3g granules for oral solution sachets (VMP)
18162811000001109,Monurol 3g granules for oral solution sachets (Imported (United States)) (AMP)
21393311000001105,Fosfomycin 3g granules for oral solution sachets (Special Order) (AMP)
29744711000001107,Monuril 3g granules sachets (Lexon (UK) Ltd) (AMP)
29934011000001102,Fosfomycin 3g granules for oral solution sachets (A A H Pharmaceuticals Ltd) (AMP)
30779111000001106,Fosfomycin 3g granules for oral solution sachets (Lexon (UK) Ltd) (AMP)
32746111000001105,Fosfomycin 3g granules for oral solution sachets (Advanz Pharma) (AMP)
32982711000001106,Monuril 3g granules for oral solution sachets (Zambon UK Ltd) (AMP)
38773011000001105,Monuril 3g granules for oral solution sachets (Pilsco Ltd) (AMP)
39790611000001100,Alexi 3g granules for oral solution sachets (Nordic Pharma Ltd) (AMP)
39834211000001100,Monuril 3g granules for oral solution sachets (CST Pharma Ltd) (AMP)
39834411000001101,Fosfomycin 3g granules for oral solution sachets (CST Pharma Ltd) (AMP)
40463411000001101,Monuril 3g granules for oral solution sachets (DE Pharmaceuticals) (AMP)
40560111000001109,Fosfomycin 3g granules for oral solution sachets (Consilient Health Ltd) (AMP)
40666711000001102,Fosfomycin 3g granules for oral solution sachets (Alliance Healthcare (Distribution) Ltd) (AMP)
42831811000001106,Fosfomycin 3g granules for oral solution sachets (Drugsrus Ltd) (AMP)
42858811000001101,Monuril 3g granules for oral solution sachets (Necessity Supplies Ltd) (AMP)
776041001,Fosfomycin (VTM)
