code,term
13881811000001105,Fucidin 20mg/g cream (DE Pharmaceuticals) (AMP)
14244911000001100,Fucidin 20mg/g cream (Sigma Pharmaceuticals Plc) (AMP)
18156111000001105,Fucidin 20mg/g cream (Mawdsley-Brooks & Company Ltd) (AMP)
21158011000001104,Fusidic acid 2% cream (Advanz Pharma) (AMP)
21218711000001105,Fusidic acid 2% cream (Actavis UK Ltd) (AMP)
21229911000001109,Fusidic acid 2% cream (A A H Pharmaceuticals Ltd) (AMP)
21233611000001102,Fusidic acid 2% cream (Alliance Healthcare (Distribution) Ltd) (AMP)
23919811000001102,Fusidic acid 2% cream (Phoenix Healthcare Distribution Ltd) (AMP)
28932311000001108,Fusidic acid 2% cream (Teva UK Ltd) (AMP)
29867911000001107,Fusidic acid 2% cream (Sigma Pharmaceuticals Plc) (AMP)
30056311000001101,Fusidic acid 2% cream (DE Pharmaceuticals) (AMP)
32407211000001103,Fusidic acid 2% cream (Kent Pharma (UK) Ltd) (AMP)
37080611000001108,Fusidic acid 2% cream (Mawdsley-Brooks & Company Ltd) (AMP)
38927811000001102,Fusidic acid 2% cream (Medihealth (Northern) Ltd) (AMP)
41740011000001109,Fusidic acid 2% gel (VMP)
41898711000001103,Fusidic acid 2% cream (VMP)
5264311000001103,Fucidin 20mg/g cream (Waymade Healthcare Plc) (AMP)
5292911000001109,Fucidin 20mg/g cream (Dowelhurst Ltd) (AMP)
5464111000001104,Fusidic acid 2% cream (Dowelhurst Ltd) (AMP)
587111000001101,Fucidin 2% gel (LEO Pharma) (AMP)
776058006,Fusidic acid (VTM)
818211000001108,Fucidin 20mg/g cream (LEO Pharma) (AMP)
