code,term
10628791000119105,Ulcerative impetigo
12318008,Impetigo bullosa
1251408006,Childhood impetiginized atopic dermatitis
1251431006,Adult impetiginized atopic dermatitis
1254907009,Infantile impetiginized atopic dermatitis
156319000,(Impetigo) or (pemphigus neonatorum)
194203003,Infective otitis externa due to impetigo
200701009,Impetigo contagiosa unspecified
200703007,Bullous impetigo
200704001,Impetigo contagiosa gyrata
200705000,Impetigo circinata
200706004,Impetigo neonatorum
200707008,Impetigo simplex
200708003,Impetigo follicularis
200709006,Chronic symmetrical impetigo
200710001,Impetigo NOS
201182003,Perifolliculitis capitis abscedens
231802001,Impetigo of eyelid
238374001,Non-bullous impetigo
238375000,Streptococcal impetigo
238376004,Staphylococcal non-bullous impetigo
238377008,Secondary impetiginization
238378003,Scalp folliculitis
238379006,Staphylococcal folliculitis of scalp
238381008,Staphylococcal granuloma
238391002,Acute sycosis barbae
267812007,Superficial folliculitis
267836006,(Impetigo) or (pemphigus neonatorum)
359749002,Circinate impetigo
359751003,Impetigo caused by Staphylococcus aureus
359754006,Bullous impetigo
367404007,Impetigo bullosa
399102002,Bullous staphylococcal impetigo
399183005,Impetigo bullosa
402201001,Impetiginized atopic dermatitis
402922003,Propionibacterium acnes folliculitis
402923008,Acne necrotica varioliformis of scalp margin
403845000,Neonatal eosinophilic pustular folliculitis
45072005,Acne necrotica miliaris
48277006,Impetigo
49265008,Folliculitis keloidalis nuchae
53396004,Bockhart impetigo
53593008,Folliculitis decalvans
53651004,Pustular folliculitis
677481000000102,Impetigo NOS
686731000000101,Impetigo contagiosa unspecified
721268005,Superficial folliculitis caused by bacterium
803881000000108,Bullous impetigo
805561000000103,Bullous staphylococcal impetigo
838295002,Bullous impetigo of napkin area
860871003,Eosinophilic folliculitis due to human immunodeficiency virus infection
95333004,Eosinophilic pustular folliculitis
