code,term
13835511000001101,Bactroban 2% nasal ointment (DE Pharmaceuticals) (AMP)
13835711000001106,Bactroban 2% ointment (DE Pharmaceuticals) (AMP)
14201811000001101,Bactroban 2% nasal ointment (Sigma Pharmaceuticals Plc) (AMP)
14202011000001104,Bactroban 2% ointment (Sigma Pharmaceuticals Plc) (AMP)
16140011000001101,Bactroban 2% ointment (Lexon (UK) Ltd) (AMP)
16140211000001106,Bactroban 2% nasal ointment (Lexon (UK) Ltd) (AMP)
16275511000001102,Bactroban 2% nasal ointment (Mawdsley-Brooks & Company Ltd) (AMP)
16275811000001104,Bactroban 2% ointment (Mawdsley-Brooks & Company Ltd) (AMP)
16541411000001108,Bactroban 2% ointment (Stephar (U.K.) Ltd) (AMP)
16541811000001105,Bactroban 2% nasal ointment (Stephar (U.K.) Ltd) (AMP)
17597111000001102,Bactroban 2% ointment (Necessity Supplies Ltd) (AMP)
17612911000001105,Bactroban 2% nasal ointment (Necessity Supplies Ltd) (AMP)
19728711000001102,Bactroban 2% cream (Mawdsley-Brooks & Company Ltd) (AMP)
21230211000001109,Mupirocin 2% ointment (Advanz Pharma) (AMP)
21548011000001107,Mupirocin 2% ointment (A A H Pharmaceuticals Ltd) (AMP)
21553011000001102,Mupirocin 2% ointment (Alliance Healthcare (Distribution) Ltd) (AMP)
21666211000001102,Mupirocin 2% ointment (Actavis UK Ltd) (AMP)
24405311000001107,Mupirocin 2% ointment (DE Pharmaceuticals) (AMP)
2906711000001107,Bactroban 2% nasal ointment (GlaxoSmithKline UK Ltd) (AMP)
2908011000001109,Bactroban 2% cream (GlaxoSmithKline UK Ltd) (AMP)
2908411000001100,Bactroban 2% ointment (GlaxoSmithKline UK Ltd) (AMP)
29927711000001109,Mupirocin 2% ointment (Sigma Pharmaceuticals Plc) (AMP)
32766711000001104,Mupirocin 2% ointment (InfectoPharm Ltd) (AMP)
39883211000001108,Mupirocin 2% ointment (Medihealth (Northern) Ltd) (AMP)
40229311000001103,Mupirocin 2% nasal ointment (InfectoPharm Ltd) (AMP)
41903711000001100,Mupirocin 2% cream (VMP)
41903911000001103,Mupirocin 2% nasal ointment (VMP)
41904011000001100,Mupirocin 2% ointment (VMP)
5255511000001102,Bactroban 2% ointment (Waymade Healthcare Plc) (AMP)
5255711000001107,Bactroban 2% nasal ointment (Waymade Healthcare Plc) (AMP)
5282311000001107,Bactroban 2% nasal ointment (Dowelhurst Ltd) (AMP)
5282811000001103,Bactroban 2% ointment (Dowelhurst Ltd) (AMP)
5452211000001109,Mupirocin 2% nasal ointment (Dowelhurst Ltd) (AMP)
776837004,Mupirocin (VTM)
