code,term
11015711000001106,Nitrofurantoin 100mg tablets (Dr Reddy's Laboratories (UK) Ltd) (AMP)
11016111000001104,Nitrofurantoin 50mg tablets (Dr Reddy's Laboratories (UK) Ltd) (AMP)
12820611000001102,Nitrofurantoin 100mg/5ml oral suspension (Special Order) (AMP)
12820911000001108,Nitrofurantoin 100mg/5ml oral solution (Special Order) (AMP)
12821211000001105,Nitrofurantoin 10mg/5ml oral suspension (Special Order) (AMP)
12821511000001108,Nitrofurantoin 10mg/5ml oral solution (Special Order) (AMP)
12821811000001106,Nitrofurantoin 11mg/5ml oral suspension (Special Order) (AMP)
12822111000001109,Nitrofurantoin 11mg/5ml oral solution (Special Order) (AMP)
12822411000001104,Nitrofurantoin 12.5mg/5ml oral suspension (Special Order) (AMP)
12822711000001105,Nitrofurantoin 12.5mg/5ml oral solution (Special Order) (AMP)
12823011000001104,Nitrofurantoin 125mg/5ml oral suspension (Special Order) (AMP)
12823311000001101,Nitrofurantoin 125mg/5ml oral solution (Special Order) (AMP)
12823611000001106,Nitrofurantoin 12mg/5ml oral suspension (Special Order) (AMP)
12823911000001100,Nitrofurantoin 12mg/5ml oral solution (Special Order) (AMP)
12824211000001107,Nitrofurantoin 13.5mg/5ml oral suspension (Special Order) (AMP)
12824511000001105,Nitrofurantoin 13.5mg/5ml oral solution (Special Order) (AMP)
12824811000001108,Nitrofurantoin 13mg/5ml oral suspension (Special Order) (AMP)
12825111000001102,Nitrofurantoin 13mg/5ml oral solution (Special Order) (AMP)
12827411000001101,Nitrofurantoin 14mg/5ml oral suspension (Special Order) (AMP)
12828311000001109,Nitrofurantoin 14mg/5ml oral solution (Special Order) (AMP)
12828711000001108,Nitrofurantoin 15mg/5ml oral suspension (Special Order) (AMP)
12829211000001106,Nitrofurantoin 15mg/5ml oral solution (Special Order) (AMP)
12829711000001104,Nitrofurantoin 16mg/5ml oral suspension (Special Order) (AMP)
12830411000001103,Nitrofurantoin 16mg/5ml oral solution (Special Order) (AMP)
12862811000001106,Nitrofurantoin 100mg/5ml oral solution (VMP)
12862911000001101,Nitrofurantoin 100mg/5ml oral suspension (VMP)
12863011000001109,Nitrofurantoin 10mg/5ml oral solution (VMP)
12863111000001105,Nitrofurantoin 10mg/5ml oral suspension (VMP)
12863211000001104,Nitrofurantoin 11mg/5ml oral solution (VMP)
12863311000001107,Nitrofurantoin 11mg/5ml oral suspension (VMP)
12863411000001100,Nitrofurantoin 12.5mg/5ml oral solution (VMP)
12863511000001101,Nitrofurantoin 12.5mg/5ml oral suspension (VMP)
12863611000001102,Nitrofurantoin 125mg/5ml oral solution (VMP)
12863711000001106,Nitrofurantoin 125mg/5ml oral suspension (VMP)
12863811000001103,Nitrofurantoin 12mg/5ml oral solution (VMP)
12863911000001108,Nitrofurantoin 12mg/5ml oral suspension (VMP)
12864011000001106,Nitrofurantoin 13.5mg/5ml oral solution (VMP)
12864111000001107,Nitrofurantoin 13.5mg/5ml oral suspension (VMP)
12864211000001101,Nitrofurantoin 13mg/5ml oral solution (VMP)
12864311000001109,Nitrofurantoin 13mg/5ml oral suspension (VMP)
12864411000001102,Nitrofurantoin 14mg/5ml oral solution (VMP)
12864511000001103,Nitrofurantoin 14mg/5ml oral suspension (VMP)
12864611000001104,Nitrofurantoin 15mg/5ml oral solution (VMP)
12864711000001108,Nitrofurantoin 15mg/5ml oral suspension (VMP)
12864811000001100,Nitrofurantoin 16mg/5ml oral solution (VMP)
12864911000001105,Nitrofurantoin 16mg/5ml oral suspension (VMP)
12888811000001106,Nitrofurantoin 17.5mg/5ml oral suspension (Special Order) (AMP)
12889111000001106,Nitrofurantoin 17.5mg/5ml oral solution (Special Order) (AMP)
12889411000001101,Nitrofurantoin 17mg/5ml oral suspension (Special Order) (AMP)
12889711000001107,Nitrofurantoin 17mg/5ml oral solution (Special Order) (AMP)
12890311000001103,Nitrofurantoin 18.75mg/5ml oral suspension (Special Order) (AMP)
12890911000001102,Nitrofurantoin 18.75mg/5ml oral solution (Special Order) (AMP)
12891611000001103,Nitrofurantoin 18mg/5ml oral suspension (Special Order) (AMP)
12892411000001106,Nitrofurantoin 18mg/5ml oral solution (Special Order) (AMP)
