code,term
1323941000000101,Group consultation via video conference
2365631000000109,Consultation via video conference with third party
325911000000101,Consultation via multimedia encounter type
325921000000107,Consultation via video conference encounter type
325991000000105,Assessment via multimedia encounter type
326001000000109,Assessment via video conference encounter type
448337001,Telemedicine consultation with patient
453131000124105,Videotelephony encounter
466583009,Video conferencing telemedicine system
719410009,Consultation via video conference
773531000000103,Telemedicine consultation
868184008,Telemedicine consultation with provider
978871000000104,Consultation via multimedia
978881000000102,Consultation via video conference
