code,term
10430511000001103,Phenoxymethylpenicillin 250mg tablets (Arrow Generics Ltd) (AMP)
10452211000001101,Phenoxymethylpenicillin 125mg/5ml oral solution (Arrow Generics Ltd) (AMP)
10452411000001102,Phenoxymethylpenicillin 250mg/5ml oral solution (Arrow Generics Ltd) (AMP)
10452611000001104,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free (Arrow Generics Ltd) (AMP)
10452811000001100,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free (Arrow Generics Ltd) (AMP)
10711000001104,Phenoxymethylpenicillin 125mg/5ml oral solution (Alliance Healthcare (Distribution) Ltd) (AMP)
11144611000001104,Phenoxymethylpenicillin 125mg/5ml oral solution (Karib Kemi-Pharm Ltd) (AMP)
11533211000001107,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free (Sandoz Ltd) (AMP)
13236311000001105,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free (Dowelhurst Ltd) (AMP)
13236511000001104,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free (Dowelhurst Ltd) (AMP)
13237211000001100,Phenoxymethylpenicillin 250mg tablets (Dowelhurst Ltd) (AMP)
15311000001105,Phenoxymethylpenicillin 125mg/5ml oral solution (Teva UK Ltd) (AMP)
16063111000001105,Phenoxymethylpenicillin 250mg tablets (Bristol Laboratories Ltd) (AMP)
16165811000001108,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd) (AMP)
16166011000001106,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd) (AMP)
17954311000001108,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free (Phoenix Healthcare Distribution Ltd) (AMP)
17954511000001102,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free (Phoenix Healthcare Distribution Ltd) (AMP)
17954711000001107,Phenoxymethylpenicillin 250mg tablets (Phoenix Healthcare Distribution Ltd) (AMP)
18719011000001104,Phenoxymethylpenicillin 125mg/5ml oral solution (Sigma Pharmaceuticals Plc) (AMP)
18719411000001108,Phenoxymethylpenicillin 250mg/5ml oral solution (Sigma Pharmaceuticals Plc) (AMP)
189311000001103,Phenoxymethylpenicillin 250mg/5ml oral solution (IVAX Pharmaceuticals UK Ltd) (AMP)
19730711000001101,Phenoxymethylpenicillin 250mg tablets (Medreich Plc) (AMP)
19736211000001105,Phenoxymethylpenicillin 125mg/5ml oral solution (Medreich Plc) (AMP)
20129511000001108,Phenoxymethylpenicillin 125mg/5ml oral solution (Crescent Pharma Ltd) (AMP)
20129711000001103,Phenoxymethylpenicillin 250mg/5ml oral solution (Crescent Pharma Ltd) (AMP)
209811000001108,Phenoxymethylpenicillin 250mg/5ml oral solution (Accord-UK Ltd) (AMP)
21038311000001109,Phenoxymethylpenicillin 125mg/5ml oral solution (Bristol Laboratories Ltd) (AMP)
21038511000001103,Phenoxymethylpenicillin 250mg/5ml oral solution (Bristol Laboratories Ltd) (AMP)
21038711000001108,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free (Bristol Laboratories Ltd) (AMP)
21038911000001105,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free (Bristol Laboratories Ltd) (AMP)
21532411000001101,Phenoxymethylpenicillin 125mg/5ml oral solution (Ennogen Healthcare Ltd) (AMP)
21532611000001103,Phenoxymethylpenicillin 250mg/5ml oral solution (Ennogen Healthcare Ltd) (AMP)
21834511000001106,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free (Cubic Pharmaceuticals Ltd) (AMP)
21844311000001104,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free (Waymade Healthcare Plc) (AMP)
21844511000001105,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free (Waymade Healthcare Plc) (AMP)
21844711000001100,Phenoxymethylpenicillin 250mg tablets (Waymade Healthcare Plc) (AMP)
21863211000001102,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free (Cubic Pharmaceuticals Ltd) (AMP)
24410611000001107,Phenoxymethylpenicillin 125mg/5ml oral solution (DE Pharmaceuticals) (AMP)
28097111000001105,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free (Almus Pharmaceuticals Ltd) (AMP)
28097311000001107,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free (Almus Pharmaceuticals Ltd) (AMP)
28985911000001106,Phenoxymethylpenicillin 250mg tablets (Crescent Pharma Ltd) (AMP)
289911000001104,Phenoxymethylpenicillin 250mg/5ml oral solution (Teva UK Ltd) (AMP)
29983311000001107,Phenoxymethylpenicillin 250mg tablets (Sigma Pharmaceuticals Plc) (AMP)
30856011000001103,Phenoxymethylpenicillin 250mg/5ml oral solution (Mawdsley-Brooks & Company Ltd) (AMP)
30856211000001108,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free (Mawdsley-Brooks & Company Ltd) (AMP)
30856411000001107,Phenoxymethylpenicillin 250mg tablets (Mawdsley-Brooks & Company Ltd) (AMP)
31058611000001104,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free (Accord-UK Ltd) (AMP)
31058811000001100,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free (Accord-UK Ltd) (AMP)
322611000001104,Phenoxymethylpenicillin 250mg/5ml oral solution (Alliance Healthcare (Distribution) Ltd) (AMP)
32489211000001105,Phenoxymethylpenicillin 250mg tablets (Brown & Burk UK Ltd) (AMP)
32490911000001108,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free (Brown & Burk UK Ltd) (AMP)
32492211000001103,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free (Brown & Burk UK Ltd) (AMP)
333711000001103,Phenoxymethylpenicillin 250mg/5ml oral solution (Sandoz Ltd) (AMP)
35211000001107,Phenoxymethylpenicillin 250mg tablets (Accord-UK Ltd) (AMP)
37772411000001102,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free (DE Pharmaceuticals) (AMP)
37772611000001104,Phenoxymethylpenicillin 250mg/5ml oral solution (DE Pharmaceuticals) (AMP)
37772811000001100,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free (DE Pharmaceuticals) (AMP)
37773011000001102,Phenoxymethylpenicillin 250mg tablets (DE Pharmaceuticals) (AMP)
38081711000001100,Phenoxymethylpenicillin 125mg/5ml oral solution (Flamingo Pharma (UK) Ltd) (AMP)
38081911000001103,Phenoxymethylpenicillin 250mg/5ml oral solution (Flamingo Pharma (UK) Ltd) (AMP)
39176911000001106,Phenoxymethylpenicillin 250mg tablets (Medihealth (Northern) Ltd) (AMP)
39177211000001100,Phenoxymethylpenicillin 125mg/5ml oral solution (Medihealth (Northern) Ltd) (AMP)
39177411000001101,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free (Medihealth (Northern) Ltd) (AMP)
39177611000001103,Phenoxymethylpenicillin 250mg/5ml oral solution (Medihealth (Northern) Ltd) (AMP)
39177811000001104,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free (Medihealth (Northern) Ltd) (AMP)
392411000001109,Phenoxymethylpenicillin 125mg/5ml oral solution (A A H Pharmaceuticals Ltd) (AMP)
41341211000001106,Phenoxymethylpenicillin 250mg tablets (Rudipharm Ltd) (AMP)
41953711000001109,Phenoxymethylpenicillin 125mg/5ml oral solution (VMP)
41953811000001101,Phenoxymethylpenicillin 250mg tablets (VMP)
41953911000001106,Phenoxymethylpenicillin 250mg/5ml oral solution (VMP)
420411000001107,Phenoxymethylpenicillin 250mg tablets (IVAX Pharmaceuticals UK Ltd) (AMP)
42591311000001106,Phenoxymethylpenicillin 250mg tablets (Flamingo Pharma (UK) Ltd) (AMP)
44105811000001102,Phenoxymethylpenicillin 500mg tablets (Brown & Burk UK Ltd) (AMP)
44122111000001108,Phenoxymethylpenicillin 500mg tablets (VMP)
44519211000001106,Phenoxymethylpenicillin 500mg tablets (Alliance Healthcare (Distribution) Ltd) (AMP)
45438811000001109,Phenoxymethylpenicillin 500mg tablets (A A H Pharmaceuticals Ltd) (AMP)
45756711000001105,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free (Crescent Pharma Ltd) (AMP)
45756911000001107,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free (Crescent Pharma Ltd) (AMP)
482711000001106,Phenoxymethylpenicillin 250mg tablets (Viatris UK Healthcare Ltd) (AMP)
604211000001105,Phenoxymethylpenicillin 125mg/5ml oral solution (IVAX Pharmaceuticals UK Ltd) (AMP)
610511000001102,Phenoxymethylpenicillin 125mg/5ml oral solution (Kent Pharma (UK) Ltd) (AMP)
634711000001107,Phenoxymethylpenicillin 250mg tablets (Sandoz Ltd) (AMP)
683011000001103,Phenoxymethylpenicillin 125mg/5ml oral solution (Accord-UK Ltd) (AMP)
738911000001105,Phenoxymethylpenicillin 125mg/5ml oral solution (Sandoz Ltd) (AMP)
765311000001105,Phenoxymethylpenicillin 250mg tablets (A A H Pharmaceuticals Ltd) (AMP)
770211000001102,Phenoxymethylpenicillin 250mg/5ml oral solution (Viatris UK Healthcare Ltd) (AMP)
777175009,Phenoxymethylpenicillin (VTM)
78111000001109,Phenoxymethylpenicillin 250mg tablets (Kent Pharma (UK) Ltd) (AMP)
799511000001103,Phenoxymethylpenicillin 250mg tablets (Teva UK Ltd) (AMP)
808511000001109,Phenoxymethylpenicillin 125mg/5ml oral solution (Viatris UK Healthcare Ltd) (AMP)
821311000001102,Phenoxymethylpenicillin 250mg tablets (Alliance Healthcare (Distribution) Ltd) (AMP)
839711000001102,Phenoxymethylpenicillin 250mg tablets (Sun Pharma UK Ltd) (AMP)
849911000001104,Tenkicin 250mg tablets (Kent Pharma (UK) Ltd) (AMP)
871611000001108,Phenoxymethylpenicillin 250mg tablets (The Boots Company Plc) (AMP)
887811000001107,Phenoxymethylpenicillin 250mg/5ml oral solution (Kent Pharma (UK) Ltd) (AMP)
9209211000001101,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free (Kent Pharma (UK) Ltd) (AMP)
9209511000001103,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free (Kent Pharma (UK) Ltd) (AMP)
9215111000001107,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free (VMP)
9215211000001101,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free (VMP)
9253911000001104,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd) (AMP)
9254111000001100,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd) (AMP)
9308011000001109,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free (Teva UK Ltd) (AMP)
9308211000001104,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free (Teva UK Ltd) (AMP)
94811000001103,Phenoxymethylpenicillin 250mg/5ml oral solution (A A H Pharmaceuticals Ltd) (AMP)
9803511000001108,Phenoxymethylpenicillin 250mg tablets (Almus Pharmaceuticals Ltd) (AMP)
9804611000001105,Phenoxymethylpenicillin 125mg/5ml oral solution (Almus Pharmaceuticals Ltd) (AMP)
9805411000001108,Phenoxymethylpenicillin 250mg/5ml oral solution (Almus Pharmaceuticals Ltd) (AMP)
9842311000001100,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free (Viatris UK Healthcare Ltd) (AMP)
9842511000001106,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free (Viatris UK Healthcare Ltd) (AMP)
