code,term
32744411000001108,Pivmecillinam 200mg/5ml oral suspension (Special Order) (AMP)
32750311000001106,Pivmecillinam 200mg/5ml oral suspension (VMP)
35175011000001108,Pivmecillinam 200mg tablets (Milpharm Ltd) (AMP)
3685611000001102,Selexid 200mg tablets (Karo Healthcare UK Ltd) (AMP)
37305311000001105,Pivmecillinam 200mg tablets (A A H Pharmaceuticals Ltd) (AMP)
37415211000001106,Selexid 200mg tablets (CST Pharma Ltd) (AMP)
37728411000001104,Selexid 200mg tablets (Pilsco Ltd) (AMP)
37775511000001109,Pivmecillinam 200mg tablets (DE Pharmaceuticals) (AMP)
39702711000001106,Pivmecillinam 200mg tablets (VMP)
39888111000001106,Pivmecillinam 200mg tablets (Medihealth (Northern) Ltd) (AMP)
39989811000001100,Pivmecillinam 200mg tablets (Alliance Healthcare (Distribution) Ltd) (AMP)
42875911000001102,Selexid 200mg tablets (Necessity Supplies Ltd) (AMP)
5579711000001100,Selexid 200mg tablets (Dowelhurst Ltd) (AMP)
777227006,Pivmecillinam (VTM)
