code,term
10491005,Meningitis caused by Human alphaherpesvirus 3
10698009,Herpes zoster iridocyclitis
1078254009,Recurrent infection caused by herpes zoster
1087131000119102,Scleritis due to herpes zoster
1163465001,Dacryoadenitis due to herpes zoster
1163483009,Infection of eyelid due to herpes zoster
12551000132107,Cranial neuropathy due to Herpes zoster
12561000132105,Bacterial infection co-occurrent and due to herpes zoster
15680281000119103,Keratoconjunctivitis of bilateral eyes caused by Human alphaherpesvirus 3
15681361000119105,Infection of skin of bilateral eyelids due to herpes zoster
15685081000119102,Disorder of corneal epithelium of right eye caused by Human alphaherpesvirus 3
15685121000119100,Disorder of corneal epithelium of left eye caused by Human alphaherpesvirus 3
15685161000119105,Disorder of corneal epithelium of bilateral eyes caused by Human alphaherpesvirus 3
15685201000119100,Interstitial keratitis of left eye caused by Herpes zoster virus
15685241000119103,Interstitial keratitis of bilateral eyes caused by Human alphaherpesvirus 3
15685281000119108,Interstitial keratitis of right eye caused by Herpes zoster virus
15989271000119107,Conjunctivitis of right eye caused by herpes zoster virus
15989311000119107,Conjunctivitis of bilateral eyes caused by herpes zoster virus
15989351000119108,Conjunctivitis of left eye caused by herpes zoster virus
15992271000119100,Keratitis of right eye due to herpes zoster
15992311000119100,Keratitis of left eye due to herpes zoster
15992351000119104,Keratitis of bilateral eyes caused by Human herpesvirus 3
16000751000119105,Scleritis of bilateral eyes due to herpes zoster
16000791000119100,Scleritis of left eye due to herpes zoster
16000831000119106,Scleritis of right eye due to herpes zoster
186514003,Herpes zoster [organism] or [infection - shingles]
21954000,Herpes zoster auricularis
230176008,Herpes zoster encephalitis
230198004,Varicella transverse myelitis
230262004,Amyotrophy caused by herpes zoster
230536009,Acute trigeminal herpes zoster
232400003,Acute herpes zoster pharyngitis
235059009,Herpes zoster infection of oral mucosa
239981000000102,Shingles exanthem
240470005,Herpes zoster involving thoracic dermatome
240471009,Herpes zoster involving lumbar dermatome
240472002,Maxillary herpes zoster infection
240473007,Mandibular herpes zoster infection
240474001,Multidermatomal herpes zoster infection
331071000119101,Herpes zoster iritis
36292003,Otitis externa caused by Herpes zoster
397573005,Herpes zoster keratitis
400020001,Herpes zoster dermatitis
402897003,Herpes zoster involving cervical dermatome
402898008,Herpes zoster involving sacral dermatome
410500004,Herpes zoster involving tip of nose
410509003,Herpes zoster conjunctivitis
416718008,Infection of skin of eyelid due to herpes zoster
421029004,Herpes zoster retinitis
422127002,Herpes zoster with acquired immunodeficiency syndrome
422446008,Herpes zoster subepithelial infiltrates
422471006,Herpes zoster acute retinal necrosis
422666006,Disorder of corneal epithelium caused by Human alphaherpesvirus 3
423628002,Acute herpes zoster neuropathy
424353002,Corneal haze caused by herpes zoster
424435009,Herpes zoster pseudodendrites
42448002,Herpes zoster keratoconjunctivitis
424801004,Herpes zoster corneal endotheliitis
424941009,Herpes zoster radiculitis
426570007,Herpes zoster interstitial keratitis
428633000,Exanthem due to herpes zoster
449783002,Zoster sine herpete
4740000,Herpes zoster
512281000000101,Hutchinson's sign - herpes zoster involving nose tip 
55560002,Disseminated herpes zoster
713733003,Infection caused by herpes zoster virus co-occurrent with human immunodeficiency virus infection
713964006,Multidermatomal infection caused by Herpes zoster co-occurrent with human immunodeficiency virus infection
838357005,Acute glossopharyngeal neuropathy caused by Herpes zoster
87014001,AIDS with herpes zoster
87513003,Herpes zoster ophthalmicus
98541000119101,Herpes zoster myelitis
