code,term
10414811000001100,Trimethoprim 100mg tablets (Arrow Generics Ltd) (AMP)
10415011000001105,Trimethoprim 200mg tablets (Arrow Generics Ltd) (AMP)
112111000001106,Trimethoprim 200mg tablets (Alliance Healthcare (Distribution) Ltd) (AMP)
121511000001103,Trimethoprim 100mg tablets (Teva UK Ltd) (AMP)
13361311000001101,Trimethoprim 200mg/5ml oral suspension (Special Order) (AMP)
13361711000001102,Trimethoprim 20mg/5ml oral suspension (Special Order) (AMP)
13362311000001105,Trimethoprim 240mg/5ml oral suspension (Special Order) (AMP)
13362611000001100,Trimethoprim 7mg/5ml oral suspension (Special Order) (AMP)
13363211000001108,Trimethoprim 200mg/5ml oral solution (Special Order) (AMP)
13363511000001106,Trimethoprim 20mg/5ml oral solution (Special Order) (AMP)
13363811000001109,Trimethoprim 240mg/5ml oral solution (Special Order) (AMP)
13364111000001100,Trimethoprim 7mg/5ml oral solution (Special Order) (AMP)
13374511000001101,Trimethoprim 200mg/5ml oral solution (VMP)
13374611000001102,Trimethoprim 200mg/5ml oral suspension (VMP)
13374711000001106,Trimethoprim 20mg/5ml oral solution (VMP)
13374811000001103,Trimethoprim 20mg/5ml oral suspension (VMP)
13374911000001108,Trimethoprim 240mg/5ml oral solution (VMP)
13375011000001108,Trimethoprim 240mg/5ml oral suspension (VMP)
13375111000001109,Trimethoprim 7mg/5ml oral solution (VMP)
13375211000001103,Trimethoprim 7mg/5ml oral suspension (VMP)
13627411000001101,Trimethoprim 50mg/5ml oral suspension sugar free (Pinewood Healthcare) (AMP)
15199811000001106,Trimethoprim 100mg tablets (Sigma Pharmaceuticals Plc) (AMP)
15200311000001106,Trimethoprim 50mg/5ml oral suspension sugar free (Sigma Pharmaceuticals Plc) (AMP)
15861911000001105,Trimethoprim 50mg/5ml oral suspension sugar free (Actavis UK Ltd) (AMP)
15911000001106,Trimethoprim 200mg tablets (Actavis UK Ltd) (AMP)
16070411000001101,Trimethoprim 100mg tablets (Bristol Laboratories Ltd) (AMP)
16071011000001101,Trimethoprim 200mg tablets (Bristol Laboratories Ltd) (AMP)
17865711000001109,Trimethoprim 50mg/5ml oral suspension sugar free (Phoenix Healthcare Distribution Ltd) (AMP)
17865911000001106,Trimethoprim 100mg tablets (Phoenix Healthcare Distribution Ltd) (AMP)
17866111000001102,Trimethoprim 200mg tablets (Phoenix Healthcare Distribution Ltd) (AMP)
17962411000001102,Trimethoprim 50mg/5ml oral suspension sugar free (Almus Pharmaceuticals Ltd) (AMP)
