code,term
1064621000000108,Urinary catheter passport given
1069081000000100,Does not manage urinary catheter care
1070501000000102,Difficulty managing urinary catheter care
1073841000000107,Does manage urinary catheter care
1075371000000109,Unable to manage urinary catheter care
1141741002,Electronic urodynamic manometric catheter
1141813008,Fiberoptic light ureteral catheter
1142021003,Microwave hyperthermia system prostatic ablation catheter
1142144003,Nelaton polyurethane pre-hydrated male length urethral catheter
1142148000,Nelaton polyurethane pre-hydrated female length urethral catheter
1142225001,Foley 2-way silicone male length urethral catheter with water filled syringe
1142232005,Foley 2-way silicone female length urethral catheter with water filled syringe
1142238009,Foley 2-way polytetrafluoroethylene coated latex female length urethral catheter with water filled syringe
1142239001,Foley 2-way hydrogel coated latex female length urethral catheter with water filled syringe
1142240004,Foley 2-way polytetrafluoroethylene coated latex male length urethral catheter with water filled syringe
1142241000,Foley 2-way hydrogel coated latex male length urethral catheter with water filled syringe
1144369009,Neonatal indwelling urethral drainage catheter
1201856001,Urethral drainage and perfusion monitoring catheter
1208786009,Realignment posterior urethra over catheter using guide wire
12197921000119109,Leakage from indwelling urinary catheter
122565001,Urinary catheter specimen
1255195003,Urethral irrigation of urinary bladder via catheter
1285730007,Drug delivery urethral catheter
1292611000000103,Bilateral nephrostomies using ultrasound guidance
13391000087100,Left nephrostomy using ultrasonographic guidance
13401000087102,Right nephrostomy using ultrasonographic guidance
1359735004,Incision of urinary bladder and percutaneous insertion of suprapubic catheter using ultrasonographic guidance
1367624009,Percutaneous insertion of nephrostomy tube using imaging guidance
158221000000101,Bilateral nephrostomies using computed tomography guidance
158231000000104,Left nephrostomy using computed tomography guidance
158241000000108,Right nephrostomy using computed tomography guidance
158631000000101,Removal of bilateral nephrostomy tubes using fluoroscopic guidance
158641000000105,Removal of left nephrostomy tube using fluoroscopic guidance
158651000000108,Removal of right nephrostomy tube using fluoroscopic guidance
16221251000119108,Urine specimen obtained via straight catheter
16731481000119108,Infection of nephrostomy tube
16731801000119102,Leakage from nephrostomy catheter
17006003,Replacement of urinary catheter
175988004,Nephrostogram
176136000,Cystostomy and insertion of suprapubic catheter
176192000,Change of urethral catheter
176196002,Urethral catheterization for urodynamics
1771611000000106,Replacement of nephrostomy tube of left kidney using fluoroscopic guidance
1771621000000100,Replacement of nephrostomy tube of right kidney using fluoroscopic guidance
1771631000000103,Replacement of nephrostomy tube of bilateral kidneys using fluoroscopic guidance
182524008,Attention to urinary catheter
182525009,Clamping of urinary catheter
1833501000000109,Insertion of nephrostomy tube into transplanted kidney in right iliac fossa region of abdomen using fluoroscopic guidance
1853531000000104,Insertion of nephrostomy tube into transplanted kidney in left iliac fossa region of abdomen using fluoroscopic guidance
1892831000000101,Computed tomography left nephrostography
1892841000000105,Computed tomography right nephrostography
1892851000000108,Computed tomography bilateral nephrostographies
1893111000000108,Removal of nephrostomy tube from transplanted left kidney using fluoroscopic guidance
1893121000000102,Removal of nephrostomy tube from transplanted right kidney using fluoroscopic guidance
1893131000000100,Removal of nephrostomy tube from transplanted bilateral kidneys using fluoroscopic guidance
1976521000000104,Percutaneous insertion of nephroureterostomy catheter using fluoroscopic guidance with contrast
1976531000000102,Percutaneous replacement of nephroureterostomy catheter using fluoroscopic guidance with contrast
20568009,"Urinary catheter, device"
217076000,"Urinary catheterization as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at the time of procedure"
21904006,Nephrostomy with tube drainage
223309004,"[X]Urinary catheterization as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
225080005,Spigotting of urinary catheter
225081009,Draining urinary catheter
225082002,Emptying urinary catheter
225084001,Attaching urinary catheter to bag
225085000,Deflating indwelling urethral catheter balloon
225086004,Inflating indwelling urethral catheter balloon
225087008,Urinary catheter appliance procedures
225088003,Insertion of indwelling urethral catheter
