code,term
10685811000001103,Valtrex 250mg tablets (GlaxoSmithKline UK Ltd) (AMP)
10688211000001106,Valaciclovir 250mg tablets (VMP)
14691011000001108,Valtrex 500mg tablets (Sigma Pharmaceuticals Plc) (AMP)
15023511000001109,Valaciclovir 500mg tablets (Alliance Healthcare (Distribution) Ltd) (AMP)
16330111000001107,Valtrex 500mg tablets (Lexon (UK) Ltd) (AMP)
16606111000001107,Valaciclovir 500mg tablets (Actavis UK Ltd) (AMP)
16639011000001107,Valaciclovir 500mg tablets (Teva UK Ltd) (AMP)
16649711000001105,Valaciclovir 500mg tablets (A A H Pharmaceuticals Ltd) (AMP)
17690011000001106,Valaciclovir 500mg tablets (Alliance Pharmaceuticals Ltd) (AMP)
17913211000001106,Valaciclovir 500mg tablets (Sun Pharma UK Ltd) (AMP)
18176411000001102,Valtrex 500mg tablets (Mawdsley-Brooks & Company Ltd) (AMP)
18622211000001102,Valaciclovir 500mg tablets (Phoenix Healthcare Distribution Ltd) (AMP)
18743111000001107,Valaciclovir 500mg tablets (Sigma Pharmaceuticals Plc) (AMP)
20349011000001109,Valaciclovir 25mg/1ml oral suspension (Special Order) (AMP)
20353311000001107,Valaciclovir 25mg/1ml oral suspension (VMP)
20436211000001103,Valaciclovir 100mg/5ml oral suspension (Special Order) (AMP)
20456211000001104,Valaciclovir 100mg/5ml oral suspension (VMP)
20911011000001105,Valaciclovir 500mg tablets (Sandoz Ltd) (AMP)
20992411000001107,Valaciclovir 500mg tablets (Pfizer Ltd) (AMP)
21908111000001107,Valaciclovir 500mg tablets (Waymade Healthcare Plc) (AMP)
22042311000001106,Valaciclovir 250mg/5ml oral suspension (VMP)
22042511000001100,Valaciclovir 250mg/5ml oral suspension (Special Order) (AMP)
22338611000001104,Valaciclovir 500mg tablets (Aptil Pharma Ltd) (AMP)
27780811000001106,Valaciclovir 200mg/5ml oral suspension (Special Order) (AMP)
27811211000001100,Valaciclovir 200mg/5ml oral suspension (VMP)
30107111000001104,Valaciclovir 500mg tablets (DE Pharmaceuticals) (AMP)
30942711000001107,Valaciclovir 500mg tablets (Mawdsley-Brooks & Company Ltd) (AMP)
35187711000001108,Valaciclovir 500mg tablets (Milpharm Ltd) (AMP)
39656711000001108,Valaciclovir 500mg tablets (Pilsco Ltd) (AMP)
39836711000001103,Valaciclovir 500mg tablets (CST Pharma Ltd) (AMP)
39880511000001100,Valtrex 500mg tablets (CST Pharma Ltd) (AMP)
39924711000001101,Valaciclovir 500mg tablets (Medihealth (Northern) Ltd) (AMP)
40476611000001102,Valtrex 500mg tablets (DE Pharmaceuticals) (AMP)
41486911000001108,Valaciclovir 500mg tablets (VMP)
41755211000001105,Valaciclovir 500mg tablets (Aristo Pharma Ltd) (AMP)
41884811000001104,Valaciclovir 1g tablets (Aristo Pharma Ltd) (AMP)
41968611000001101,Valaciclovir 1g tablets (VMP)
42330511000001104,Valaciclovir 1g tablets (Alliance Healthcare (Distribution) Ltd) (AMP)
42484911000001101,Valaciclovir 500mg tablets (Accord-UK Ltd) (AMP)
42817011000001101,Valaciclovir 1g tablets (Accord-UK Ltd) (AMP)
42889111000001108,Valaciclovir 500mg tablets (Necessity Supplies Ltd) (AMP)
43556311000001102,Valaciclovir 1g tablets (A A H Pharmaceuticals Ltd) (AMP)
43935111000001103,Valaciclovir 500mg tablets (Drugsrus Ltd) (AMP)
45547211000001103,Valaciclovir 500mg tablets (Viatris UK Healthcare Ltd) (AMP)
45804611000001103,Valaciclovir 250mg tablets (Torrent Pharma (UK) Ltd) (AMP)
45804811000001104,Valaciclovir 500mg tablets (Torrent Pharma (UK) Ltd) (AMP)
5422511000001106,Valaciclovir 500mg tablets (Waymade Healthcare Plc) (AMP)
5513011000001105,Valaciclovir 500mg tablets (Dowelhurst Ltd) (AMP)
5595111000001108,Valtrex 500mg tablets (Dowelhurst Ltd) (AMP)
777906008,Valaciclovir (VTM)
892111000001101,Valtrex 500mg tablets (GlaxoSmithKline UK Ltd) (AMP)
